region_gea,region_bld,fuel,value
EEU,C-EEU-BGR,electricity,141.3888889
EEU,C-EEU-CZE,electricity,141.3888889
EEU,C-EEU-EST,electricity,279.4444444
EEU,C-EEU-HUN,electricity,79.72222222
EEU,C-EEU-LTU,electricity,47.22222222
EEU,C-EEU-LVA,electricity,33.61111111
EEU,C-EEU-POL,electricity,236.9444444
EEU,C-EEU-ROU,electricity,96.94444444
EEU,C-EEU-SVK,electricity,35.55555556
EEU,C-EEU-SVN,electricity,75.83333333
WEU,C-WEU-AUT,electricity,30
WEU,C-WEU-BEL,electricity,56.94444444
WEU,C-WEU-CYP,electricity,197.7777778
WEU,C-WEU-DEU,electricity,134.7222222
WEU,C-WEU-DNK,electricity,69.44444444
WEU,C-WEU-ESP,electricity,84.44444444
WEU,C-WEU-FIN,electricity,35.27777778
WEU,C-WEU-FRA,electricity,17.77777778
WEU,C-WEU-GBR,electricity,105
WEU,C-WEU-GRC,electricity,216.1111111
WEU,C-WEU-IRL,electricity,126.9444444
WEU,C-WEU-ISL,electricity,0
WEU,C-WEU-ITA,electricity,78.61111111
WEU,C-WEU-LUX,electricity,39.72222222
WEU,C-WEU-MLT,electricity,187.7777778
WEU,C-WEU-NLD,electricity,142.5
WEU,C-WEU-NOR,electricity,5.833333333
WEU,C-WEU-PRT,electricity,95.55555556
WEU,C-WEU-SWE,electricity,3.333333333
WEU,C-WEU-HRV,electricity,58.33333333
