region_gea,fuel,year,value
EEU,biomass_solid,2080,0
EEU,biomass_solid,2090,0
EEU,biomass_solid,2100,0
EEU,coal,2015,94.6
EEU,coal,2020,94.6
EEU,coal,2025,94.6
EEU,coal,2030,94.6
EEU,coal,2035,94.6
EEU,coal,2040,94.6
EEU,coal,2045,94.6
EEU,coal,2050,94.6
EEU,coal,2055,94.6
EEU,coal,2060,94.6
EEU,coal,2070,94.6
EEU,coal,2080,94.6
EEU,coal,2090,94.6
EEU,coal,2100,94.6
EEU,district_heat,2015,79.55380812
EEU,district_heat,2020,35.8995304
EEU,district_heat,2025,28.18475379
EEU,district_heat,2030,6.91788906
EEU,district_heat,2035,4.754916403
EEU,district_heat,2040,3.367582336
EEU,district_heat,2045,3.26231012
EEU,district_heat,2050,3.2129905
EEU,district_heat,2055,3.481198314
EEU,district_heat,2060,2.5882955
EEU,district_heat,2070,1.602468121
EEU,district_heat,2080,0.829291409
EEU,district_heat,2090,0.448034652
EEU,district_heat,2100,0.290791071
EEU,electricity,2015,84.37679301
EEU,electricity,2020,65.95957997
EEU,electricity,2025,50.22198116
EEU,electricity,2030,23.95530898
EEU,electricity,2035,18.24334802
EEU,electricity,2040,9.421600686
EEU,electricity,2045,6.793127529
EEU,electricity,2050,0
EEU,electricity,2055,0
EEU,electricity,2060,0
EEU,electricity,2070,0
EEU,electricity,2080,0
EEU,electricity,2090,0
EEU,electricity,2100,0
EEU,gas,2015,56.1
EEU,gas,2020,56.1
EEU,gas,2025,56.1
EEU,gas,2030,56.1
EEU,gas,2035,56.1
EEU,gas,2040,56.1
EEU,gas,2045,56.1
EEU,gas,2050,56.1
EEU,gas,2055,56.1
EEU,gas,2060,56.1
EEU,gas,2070,56.1
EEU,gas,2080,56.1
EEU,gas,2090,56.1
EEU,gas,2100,56.1
EEU,oil,2015,73.3
EEU,oil,2020,73.3
EEU,oil,2025,73.3
EEU,oil,2030,73.3
EEU,oil,2035,73.3
EEU,oil,2040,73.3
EEU,oil,2045,73.3
EEU,oil,2050,73.3
EEU,oil,2055,73.3
EEU,oil,2060,73.3
EEU,oil,2070,73.3
EEU,oil,2080,73.3
EEU,oil,2090,73.3
EEU,oil,2100,73.3
FSU,biomass_solid,2015,0
FSU,biomass_solid,2020,0
FSU,biomass_solid,2025,0
FSU,biomass_solid,2030,0
FSU,biomass_solid,2035,0
FSU,biomass_solid,2040,0
FSU,biomass_solid,2045,0
FSU,biomass_solid,2050,0
FSU,biomass_solid,2055,0
FSU,biomass_solid,2060,0
FSU,biomass_solid,2070,0
FSU,biomass_solid,2080,0
FSU,biomass_solid,2090,0
FSU,biomass_solid,2100,0
FSU,coal,2015,94.6
FSU,coal,2020,94.6
FSU,coal,2025,94.6
FSU,coal,2030,94.6
FSU,coal,2035,94.6
FSU,coal,2040,94.6
FSU,coal,2045,94.6
FSU,coal,2050,94.6
FSU,coal,2055,94.6
FSU,coal,2060,94.6
FSU,coal,2070,94.6
FSU,coal,2080,94.6
FSU,coal,2090,94.6
