region_bld,year,variable,resolution,value
C-EEU-BGR,2015,cool_EJ,mfh,6.68894393866941e-5
C-EEU-BGR,2015,cool_EJ,p1,2.8359829808331387e-5
C-EEU-BGR,2015,cool_EJ,p2,7.070324374313518e-5
C-EEU-BGR,2015,cool_EJ,p3,3.9849532092446205e-5
C-EEU-BGR,2015,cool_EJ,sfh,7.202316625721866e-5
C-EEU-BGR,2015,cool_tCO2,mfh,9457.423514028578
C-EEU-BGR,2015,cool_tCO2,p1,4009.764825993075
C-EEU-BGR,2015,cool_tCO2,p2,9996.65307446776
C-EEU-BGR,2015,cool_tCO2,p3,5634.281065735861
C-EEU-BGR,2015,cool_tCO2,sfh,10183.275452168118
C-EEU-BGR,2015,cost_heat_EUR,all,367050509.65342575
C-EEU-BGR,2015,cost_heat_EUR,biomass_solid,140768315.167033
C-EEU-BGR,2015,cost_heat_EUR,coal,19877868.872630067
C-EEU-BGR,2015,cost_heat_EUR,district_heat,111398403.4376183
C-EEU-BGR,2015,cost_heat_EUR,electricity,65061315.02415112
C-EEU-BGR,2015,cost_heat_EUR,gas,16577564.822094643
C-EEU-BGR,2015,cost_heat_EUR,heat_pump,13367042.329898644
C-EEU-BGR,2015,cost_heat_EUR,mfh,146034261.68730813
C-EEU-BGR,2015,cost_heat_EUR,p1,86402933.72966686
C-EEU-BGR,2015,cost_heat_EUR,p2,208393330.33318183
C-EEU-BGR,2015,cost_heat_EUR,p3,72254245.59057705
C-EEU-BGR,2015,cost_heat_EUR,sfh,221016247.96611762
C-EEU-BGR,2015,energy_poverty_thres,all,291220.69722666667
C-EEU-BGR,2015,energy_poverty_thres,biomass_solid,101378.32707
C-EEU-BGR,2015,energy_poverty_thres,coal,0
C-EEU-BGR,2015,energy_poverty_thres,district_heat,59250.144393333336
C-EEU-BGR,2015,energy_poverty_thres,electricity,97307.26095333333
C-EEU-BGR,2015,energy_poverty_thres,gas,19837.846016666666
C-EEU-BGR,2015,energy_poverty_thres,heat_pump,13447.118793333333
C-EEU-BGR,2015,energy_poverty_thres,mfh,10590.21618
C-EEU-BGR,2015,energy_poverty_thres,p1,90183.99539333333
C-EEU-BGR,2015,energy_poverty_thres,p2,182671.69639666667
C-EEU-BGR,2015,energy_poverty_thres,p3,18365.005436666666
C-EEU-BGR,2015,energy_poverty_thres,q1,230800.88512666666
C-EEU-BGR,2015,energy_poverty_thres,q2,43524.18620333333
C-EEU-BGR,2015,energy_poverty_thres,q3,16895.625896666665
C-EEU-BGR,2015,energy_poverty_thres,sfh,280630.4810466667
C-EEU-BGR,2015,floor_m2,all,242783498.35446203
C-EEU-BGR,2015,floor_m2,biomass_solid,122180102.05933517
C-EEU-BGR,2015,floor_m2,coal,21215659.37029449
C-EEU-BGR,2015,floor_m2,district_heat,63682364.39229998
C-EEU-BGR,2015,floor_m2,electricity,20362432.050754737
C-EEU-BGR,2015,floor_m2,gas,6979503.652321332
C-EEU-BGR,2015,floor_m2,heat_pump,8363436.829456304
C-EEU-BGR,2015,floor_m2,mfh,105991786.36055979
C-EEU-BGR,2015,floor_m2,p1,44551338.969295494
C-EEU-BGR,2015,floor_m2,p2,124578641.52612165
C-EEU-BGR,2015,floor_m2,p3,73653517.85904485
C-EEU-BGR,2015,floor_m2,sfh,136791711.9939022
C-EEU-BGR,2015,heat_EJ,all,0.13894469942504364
C-EEU-BGR,2015,heat_EJ,biomass_solid,0.08437028083380044
C-EEU-BGR,2015,heat_EJ,coal,0.014617144201699636
C-EEU-BGR,2015,heat_EJ,district_heat,0.02785894504332656
C-EEU-BGR,2015,heat_EJ,electricity,0.007081764672190671
C-EEU-BGR,2015,heat_EJ,gas,0.003561594879634485
C-EEU-BGR,2015,heat_EJ,heat_pump,0.001454969794391865
C-EEU-BGR,2015,heat_EJ,mfh,0.052719068572350945
C-EEU-BGR,2015,heat_EJ,p1,0.033000442521862815
C-EEU-BGR,2015,heat_EJ,p2,0.07875435556188544
C-EEU-BGR,2015,heat_EJ,p3,0.027189901341295387
