region_bld,urt,y1820,y1825,y1830,y1835,y1840,y1845,y1850,y1855,y1860,y1865,y1870,y1875,y1880,y1885,y1890,y1895,y1900,y1905,y1910,y1915,y1920,y1925,y1930,y1935,y1940,y1945,y1950,y1955,y1960,y1965,y1970,y1975,y1980,y1985,y1990,y1995,y2000,y2005,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,rur,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3000000000000003,3.3000000000000003,3.2999999999999994,3.3,3.3,3.3,3.2999999999999994,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.204,3.108,3.012,2.916,2.82,2.724,2.628,2.532,2.436,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34
C-EEU-BGR,urb,3.3000000000000003,3.3000000000000003,3.2999999999999994,3.2999999999999994,3.3,3.3,3.3,3.3,3.3,3.3,3.3000000000000003,3.2999999999999994,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2999999999999994,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3000000000000003,3.3,3.204,3.108,3.012,2.916,2.82,2.724,2.628,2.532,2.436,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34
C-EEU-CZE,rur,3.2999999999999994,3.3,3.3,3.2999999999999994,3.3,3.2999999999999994,3.3,3.3,3.3,3.3,3.3000000000000003,3.3,3.3000000000000003,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.207,3.114,3.021,2.928,2.835,2.742,2.649,2.556,2.463,2.37,2.37,2.37,2.37,2.37,2.3699999999999997,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37
C-EEU-CZE,urb,3.3000000000000003,3.2999999999999994,3.2999999999999994,3.3,3.3,3.3,3.3,3.3000000000000003,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3000000000000003,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3000000000000003,3.3,3.207,3.114,3.021,2.9280000000000004,2.835,2.742,2.649,2.556,2.463,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37
C-EEU-EST,rur,3.8999999999999995,3.9000000000000004,3.9000000000000004,3.9,3.9,3.9,3.9000000000000004,3.9,3.9,3.9,3.9,3.9000000000000004,3.9,3.9,3.9,3.9,3.8999999999999995,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8999999999999995,3.9,3.9,3.74,3.58,3.42,3.26,3.1,2.94,2.78,2.6200000000000006,2.46,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
C-EEU-EST,urb,3.8999999999999995,3.9000000000000004,3.9,3.9,3.9,3.9000000000000004,3.9,3.9,3.9,3.9,3.9,3.9,3.9000000000000004,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9000000000000004,3.8999999999999995,3.9,3.8999999999999995,3.9,3.9,3.9,3.74,3.58,3.42,3.26,3.1,2.94,2.78,2.62,2.46,2.3,2.3,2.3,2.3,2.3000000000000003,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
C-EEU-HUN,rur,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.214,3.128,3.042,2.956,2.87,2.784,2.698,2.612,2.526,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44
C-EEU-HUN,urb,3.3,3.3,3.3,3.3,3.2999999999999994,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2999999999999994,3.3,3.3000000000000003,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2999999999999994,3.3,3.3,3.3,3.3,3.3,3.3,3.2999999999999994,3.2139999999999995,3.128,3.042,2.956,2.8699999999999997,2.784,2.698,2.612,2.526,2.44,2.44,2.44,2.44,2.4400000000000004,2.4400000000000004,2.44,2.4400000000000004,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44
C-EEU-LTU,rur,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8999999999999995,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8999999999999995,3.9,3.8999999999999995,3.9,3.9000000000000004,3.9,3.9,3.9,3.9,3.9,3.9,3.8999999999999995,3.9000000000000004,3.9,3.745,3.59,3.435,3.2799999999999994,3.125,2.97,2.815,2.66,2.505,2.35,2.3500000000000005,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
C-EEU-LTU,urb,3.9,3.9,3.9000000000000004,3.8999999999999995,3.9000000000000004,3.9,3.9,3.9,3.9,3.9,3.8999999999999995,3.9,3.9000000000000004,3.9,3.9000000000000004,3.9000000000000004,3.9,3.9000000000000004,3.9000000000000004,3.9,3.9000000000000004,3.9,3.9,3.8999999999999995,3.9,3.9,3.9,3.9,3.8999999999999995,3.9,3.745,3.59,3.435,3.28,3.125,2.97,2.815,2.66,2.505,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
