region_bld,urt,clim,clim_name,popshr
C-EEU-BGR,rur,12,Zone_4A Mixed Humid,0.671389832591171
C-EEU-BGR,rur,15,Zone_5A Cool Humid,0.328610167408829
C-EEU-BGR,urb,12,Zone_4A Mixed Humid,0.713795844498093
C-EEU-BGR,urb,15,Zone_5A Cool Humid,0.286204155501907
C-EEU-CZE,rur,15,Zone_5A Cool Humid,1
C-EEU-CZE,urb,15,Zone_5A Cool Humid,1
C-EEU-EST,rur,18,Zone_6A Cold Humid,1
C-EEU-EST,urb,18,Zone_6A Cold Humid,1
C-EEU-HUN,rur,12,Zone_4A Mixed Humid,0.515033163976912
C-EEU-HUN,rur,15,Zone_5A Cool Humid,0.484966836023088
C-EEU-HUN,urb,12,Zone_4A Mixed Humid,0.476299894296351
C-EEU-HUN,urb,15,Zone_5A Cool Humid,0.523700105703649
C-EEU-LTU,rur,18,Zone_6A Cold Humid,1
C-EEU-LTU,urb,18,Zone_6A Cold Humid,1
C-EEU-LVA,rur,18,Zone_6A Cold Humid,1
C-EEU-LVA,urb,18,Zone_6A Cold Humid,1
C-EEU-POL,rur,15,Zone_5A Cool Humid,1
C-EEU-POL,urb,15,Zone_5A Cool Humid,1
C-EEU-ROU,rur,12,Zone_4A Mixed Humid,0.347809547790965
C-EEU-ROU,rur,15,Zone_5A Cool Humid,0.4950908658584439
C-EEU-ROU,rur,18,Zone_6A Cold Humid,0.157099586350591
C-EEU-ROU,urb,12,Zone_4A Mixed Humid,0.4033155103760431
C-EEU-ROU,urb,15,Zone_5A Cool Humid,0.517051096146899
C-EEU-ROU,urb,18,Zone_6A Cold Humid,0.07963339347705782
C-EEU-SVK,rur,15,Zone_5A Cool Humid,0.540799211191595
C-EEU-SVK,rur,18,Zone_6A Cold Humid,0.459200788808405
C-EEU-SVK,urb,15,Zone_5A Cool Humid,0.585684745393675
C-EEU-SVK,urb,18,Zone_6A Cold Humid,0.414315254606325
C-EEU-SVN,rur,15,Zone_5A Cool Humid,1
C-EEU-SVN,urb,15,Zone_5A Cool Humid,1
C-WEU-AUT,rur,12,Zone_4A Mixed Humid,0.0030539192077429465
C-WEU-AUT,rur,15,Zone_5A Cool Humid,0.7173258239394492
C-WEU-AUT,rur,18,Zone_6A Cold Humid,0.2796202568528077
C-WEU-AUT,urb,12,Zone_4A Mixed Humid,0.34959514905050704
C-WEU-AUT,urb,15,Zone_5A Cool Humid,0.446220015778129
C-WEU-AUT,urb,18,Zone_6A Cold Humid,0.204184835171364
C-WEU-BEL,rur,12,Zone_4A Mixed Humid,1
C-WEU-BEL,urb,12,Zone_4A Mixed Humid,1
C-WEU-CHE,rur,15,Zone_5A Cool Humid,1
C-WEU-CHE,urb,15,Zone_5A Cool Humid,1
C-WEU-CYP,rur,9,Zone_3A Warm Humid,1
C-WEU-CYP,urb,9,Zone_3A Warm Humid,1
C-WEU-DEU,rur,12,Zone_4A Mixed Humid,0.030878626854472898
C-WEU-DEU,rur,15,Zone_5A Cool Humid,0.969121373145527
C-WEU-DEU,urb,12,Zone_4A Mixed Humid,0.247805195961634
C-WEU-DEU,urb,15,Zone_5A Cool Humid,0.7521948040383659
C-WEU-DNK,rur,15,Zone_5A Cool Humid,1
C-WEU-DNK,urb,15,Zone_5A Cool Humid,1
C-WEU-ESP,rur,9,Zone_3A Warm Humid,0.5026458996149819
C-WEU-ESP,rur,10,Zone_3B Warm Dry,0.12963784223707098
C-WEU-ESP,rur,11,Zone_3C Warm Marine,0.04626264148100719
C-WEU-ESP,rur,12,Zone_4A Mixed Humid,0.17122763383551998
C-WEU-ESP,rur,14,Zone_4C Mixed Marine,0.15022598283141997
C-WEU-ESP,urb,9,Zone_3A Warm Humid,0.4386245609799191
C-WEU-ESP,urb,10,Zone_3B Warm Dry,0.24222189473212904
C-WEU-ESP,urb,11,Zone_3C Warm Marine,0.055879554647080616
C-WEU-ESP,urb,12,Zone_4A Mixed Humid,0.18897443806271705
C-WEU-ESP,urb,14,Zone_4C Mixed Marine,0.07429955157815431
C-WEU-FIN,rur,18,Zone_6A Cold Humid,0.17617931254627897
C-WEU-FIN,rur,21,Zone_7A Very cold Humid,0.823820687453721
C-WEU-FIN,urb,18,Zone_6A Cold Humid,0.636939823915893
C-WEU-FIN,urb,21,Zone_7A Very cold Humid,0.363060176084107
C-WEU-FRA,rur,9,Zone_3A Warm Humid,0.1020993046061589
C-WEU-FRA,rur,12,Zone_4A Mixed Humid,0.7587555562654292
C-WEU-FRA,rur,15,Zone_5A Cool Humid,0.13914513912841187
C-WEU-FRA,urb,9,Zone_3A Warm Humid,0.14566862856505797
C-WEU-FRA,urb,12,Zone_4A Mixed Humid,0.7608443590638769
C-WEU-FRA,urb,15,Zone_5A Cool Humid,0.09348701237106509
C-WEU-GBR,rur,12,Zone_4A Mixed Humid,0.483145303933445
C-WEU-GBR,rur,15,Zone_5A Cool Humid,0.516854696066555
C-WEU-GBR,urb,12,Zone_4A Mixed Humid,0.429166781028547
C-WEU-GBR,urb,15,Zone_5A Cool Humid,0.570833218971453
C-WEU-GRC,rur,9,Zone_3A Warm Humid,0.65401841340507
C-WEU-GRC,rur,12,Zone_4A Mixed Humid,0.34598158659493
C-WEU-GRC,urb,9,Zone_3A Warm Humid,0.88130396182595
C-WEU-GRC,urb,12,Zone_4A Mixed Humid,0.11869603817405
C-WEU-IRL,rur,15,Zone_5A Cool Humid,1
C-WEU-IRL,urb,15,Zone_5A Cool Humid,1
C-WEU-ISL,rur,21,Zone_7A Very cold Humid,1
C-WEU-ISL,urb,21,Zone_7A Very cold Humid,1
C-WEU-ITA,rur,9,Zone_3A Warm Humid,0.4343940580449362
C-WEU-ITA,rur,12,Zone_4A Mixed Humid,0.4344079128765192
C-WEU-ITA,rur,14,Zone_4C Mixed Marine,0.05649444931851852
C-WEU-ITA,rur,15,Zone_5A Cool Humid,0.07470357976002603
C-WEU-ITA,urb,9,Zone_3A Warm Humid,0.48770212413745595
C-WEU-ITA,urb,12,Zone_4A Mixed Humid,0.43457245374927794
C-WEU-ITA,urb,14,Zone_4C Mixed Marine,0.047675639938123494
C-WEU-ITA,urb,15,Zone_5A Cool Humid,0.030049782175142595
C-WEU-LUX,rur,15,Zone_5A Cool Humid,1
C-WEU-LUX,urb,15,Zone_5A Cool Humid,1
C-WEU-MLT,rur,9,Zone_3A Warm Humid,1
C-WEU-MLT,urb,9,Zone_3A Warm Humid,1
C-WEU-NLD,rur,12,Zone_4A Mixed Humid,0.440225952100713
C-WEU-NLD,rur,15,Zone_5A Cool Humid,0.559774047899287
C-WEU-NLD,urb,12,Zone_4A Mixed Humid,0.880220526624323
C-WEU-NLD,urb,15,Zone_5A Cool Humid,0.11977947337567701
C-WEU-NOR,rur,18,Zone_6A Cold Humid,1
C-WEU-NOR,urb,18,Zone_6A Cold Humid,1
C-WEU-PRT,rur,9,Zone_3A Warm Humid,0.553903127135542
C-WEU-PRT,rur,11,Zone_3C Warm Marine,0.4460968728644579
C-WEU-PRT,urb,9,Zone_3A Warm Humid,0.504624282843882
C-WEU-PRT,urb,11,Zone_3C Warm Marine,0.495375717156118
C-WEU-SWE,rur,15,Zone_5A Cool Humid,0.136218621007546
C-WEU-SWE,rur,18,Zone_6A Cold Humid,0.863781378992454
C-WEU-SWE,urb,15,Zone_5A Cool Humid,0.418739045899235
C-WEU-SWE,urb,18,Zone_6A Cold Humid,0.581260954100765
R32ANUZ,rur,6,Zone_2A Hot Humid,0.1473435964130155
R32ANUZ,rur,9,Zone_3A Warm Humid,0.8526564035869845
R32ANUZ,urb,6,Zone_2A Hot Humid,0.15610236594423443
R32ANUZ,urb,9,Zone_3A Warm Humid,0.8438976340557656
R32BRA,rur,0,Zone_0A Extremely hot Humid,0.2809104124019791
R32BRA,rur,3,Zone_1A Very hot Humid,0.34757052898744417
R32BRA,rur,4,Zone_1B Very hot Dry,0.05265461802762033
R32BRA,rur,6,Zone_2A Hot Humid,0.2468363517337441
R32BRA,rur,9,Zone_3A Warm Humid,0.07202808884921223
R32BRA,urb,0,Zone_0A Extremely hot Humid,0.11452025896493596
R32BRA,urb,3,Zone_1A Very hot Humid,0.2023155291488759
R32BRA,urb,4,Zone_1B Very hot Dry,0.008001272011429418
R32BRA,urb,6,Zone_2A Hot Humid,0.6043434419648989
R32BRA,urb,9,Zone_3A Warm Humid,0.07081949790985989
R32CAN,rur,15,Zone_5A Cool Humid,0.07785299101629509
R32CAN,rur,18,Zone_6A Cold Humid,0.417280285901324
R32CAN,rur,21,Zone_7A Very cold Humid,0.5048667230823809
R32CAN,urb,15,Zone_5A Cool Humid,0.346588603484062
R32CAN,urb,18,Zone_6A Cold Humid,0.3762144434173729
R32CAN,urb,21,Zone_7A Very cold Humid,0.277196953098565
R32CAS-CAU,rur,12,Zone_4A Mixed Humid,0.3696635817352546
R32CAS-CAU,rur,13,Zone_4B Mixed Dry,0.2278763580462663
R32CAS-CAU,rur,15,Zone_5A Cool Humid,0.26028024148876105
R32CAS-CAU,rur,18,Zone_6A Cold Humid,0.14217981872971797
R32CAS-CAU,urb,12,Zone_4A Mixed Humid,0.2466248121389904
R32CAS-CAU,urb,13,Zone_4B Mixed Dry,0.3022571905367096
R32CAS-CAU,urb,15,Zone_5A Cool Humid,0.242206040929155
R32CAS-CAU,urb,18,Zone_6A Cold Humid,0.208911956395145
R32CAS-OTH,rur,10,Zone_3B Warm Dry,0.033509948029620124
R32CAS-OTH,rur,12,Zone_4A Mixed Humid,0.18238184625403606
R32CAS-OTH,rur,13,Zone_4B Mixed Dry,0.34550365666325145
R32CAS-OTH,rur,15,Zone_5A Cool Humid,0.22609271978286838
R32CAS-OTH,rur,18,Zone_6A Cold Humid,0.02980820634884278
R32CAS-OTH,rur,21,Zone_7A Very cold Humid,0.18270362292138123
R32CAS-OTH,urb,10,Zone_3B Warm Dry,0.06382824291296277
R32CAS-OTH,urb,12,Zone_4A Mixed Humid,0.2427217828994922
R32CAS-OTH,urb,13,Zone_4B Mixed Dry,0.18029340247425416
R32CAS-OTH,urb,15,Zone_5A Cool Humid,0.12318655327321462
R32CAS-OTH,urb,18,Zone_6A Cold Humid,0.0271677730209146
R32CAS-OTH,urb,21,Zone_7A Very cold Humid,0.36280224541916173
R32CHN,rur,3,Zone_1A Very hot Humid,0.011590732316016707
R32CHN,rur,6,Zone_2A Hot Humid,0.09714242003295356
R32CHN,rur,9,Zone_3A Warm Humid,0.3972015701380693
R32CHN,rur,11,Zone_3C Warm Marine,0.03385436398359422
R32CHN,rur,12,Zone_4A Mixed Humid,0.1454532894771121
