region_bld,ssp,urt,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,SSP1,rur,1.760498244,1.474696377,1.255853414,1.083841785,0.946918249,0.835609215,0.742493101,0.662695601,0.593589668,0.533184339,0.478942038,0.430032156,0.385757781,0.345694849,0.309646857,0.27639316,0.2457075,0.21765602
C-EEU-BGR,SSP1,urb,5.505896795,5.583947353,5.619830188,5.623758304,5.610714829,5.583987885,5.538454836,5.470197864,5.382333745,5.277282308,5.14615031,4.992102727,4.817748469,4.627429271,4.427680009,4.209139884,3.974315459,3.730129516
C-EEU-CZE,SSP1,rur,2.40131915,2.116865634,1.896528996,1.719040989,1.572860498,1.454508898,1.358667034,1.278113387,1.207064389,1.142371406,1.080128128,1.020729158,0.96318047,0.906826679,0.85290194,0.802191096,0.754356155,0.708382133
C-EEU-CZE,SSP1,urb,8.375028967,8.905643494,9.348205701,9.710650742,10.00804689,10.28214423,10.55135712,10.80308962,11.01770392,11.18545635,11.28012404,11.31290028,11.27966087,11.17788447,11.02781402,10.84647524,10.63671343,10.39044371
C-EEU-EST,SSP1,rur,0.366278307,0.328064669,0.294036773,0.263782429,0.23755373,0.215168687,0.195715502,0.178269632,0.162351087,0.147871561,0.134692689,0.122808929,0.112077001,0.102275921,0.093059885,0.084429644,0.076542803,0.069417935
C-EEU-EST,SSP1,urb,0.969952119,1.001798361,1.027749405,1.048462552,1.067518554,1.087604681,1.107688338,1.125148438,1.138563756,1.148555253,1.155358534,1.160314972,1.163630985,1.16440315,1.159549832,1.149375846,1.136642564,1.122839004
C-EEU-HUN,SSP1,rur,2.927248722,2.682983177,2.449051359,2.223111039,2.005549557,1.799156883,1.605114461,1.423710087,1.255492063,1.100609741,0.957452277,0.826692353,0.709238516,0.60548522,0.514483927,0.434159352,0.364526566,0.304922395
C-EEU-HUN,SSP1,urb,6.943749697,7.100648775,7.259018485,7.407453799,7.53975848,7.658538368,7.762631007,7.847846839,7.912020767,7.952106526,7.9520806,7.911676202,7.838463872,7.74316189,7.626710419,7.472342897,7.294457221,7.103160573
C-EEU-LTU,SSP1,rur,0.962425946,0.845733558,0.744177556,0.654264735,0.575299458,0.506594138,0.446759931,0.393863887,0.346688391,0.304574668,0.267464349,0.235014624,0.206680759,0.18181809,0.159424811,0.139201886,0.121433114,0.106134454
C-EEU-LTU,SSP1,urb,2.289690631,2.333510665,2.358447039,2.361618284,2.347714852,2.322130345,2.287131594,2.24056184,2.181697838,2.111822613,2.036038459,1.957849461,1.878866496,1.798925965,1.71272699,1.620329087,1.528530897,1.442113536
