"region_gea","urt","mat","tenr","scenario","ssp","y2015","y2020","y2025","y2030","y2035","y2040","y2045","y2050","y2055","y2060","y2065","y2070","y2075","y2080","y2085","y2090","y2095","y2100"
"AFR","rur","perm","own","nsp","nsp",0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991,0.977313748976991
"AFR","rur","perm","rent","nsp","nsp",0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089,0.0226862510230089
"AFR","urb","perm","own","nsp","nsp",0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761,0.698123569419761
"AFR","urb","perm","rent","nsp","nsp",0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239,0.301876430580239
"CPA","rur","perm","own","nsp","nsp",0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301,0.97333149996301
"CPA","rur","perm","rent","nsp","nsp",0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899,0.0266685000369899
"CPA","urb","perm","own","nsp","nsp",0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565,0.824368211661565
"CPA","urb","perm","rent","nsp","nsp",0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435,0.175631788338435
"EEU","rur","perm","own","nsp","nsp",0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465,0.967841861106465
"EEU","rur","perm","rent","nsp","nsp",0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354,0.0321581388935354
