id,name,urt,arch,permanent,area_env,gl_perc,vol,fl_cnd,u_val,ach_cl,ach_op,gn_int,gl_g,gl_sh,roof_area,roof_abs,u_roof
0,AFR_r_new,rur,new,1,3.7,0.125,3,1,3.025,0.5,1.5,2.14,0.85,0.8,1,0.6,2.7
1,AFR_u_new,urb,new,1,1.52,0.125,3,1,3.025,0.5,1.5,2.14,0.85,0.8,0.25,0.6,2.7
2,CPA_r_new,rur,new,1,3.7,0.125,3,1,1.525,0.5,1.5,2.14,0.85,0.8,1,0.6,0.7
3,CPA_u_new,urb,new,1,1.52,0.125,3,1,1.525,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.7
4,EEU_r_new,rur,new,1,3.7,0.125,3,1,0.705,0.5,1.5,2.14,0.85,0.8,1,0.6,0.23
5,EEU_u_new,urb,new,1,1.52,0.125,3,1,0.705,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.23
6,FSU_r_new,rur,new,1,3.7,0.125,3,1,0.705,0.5,1.5,2.14,0.85,0.8,1,0.6,0.23
7,FSU_u_new,urb,new,1,1.52,0.125,3,1,0.705,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.23
8,LAC_r_new,rur,new,1,3.7,0.125,3,1,2.65,0.5,1.5,2.14,0.85,0.8,1,0.6,1.6
9,LAC_u_new,urb,new,1,1.52,0.125,3,1,2.65,0.5,1.5,2.14,0.85,0.8,0.25,0.6,1.6
10,MEA_r_new,rur,new,1,3.7,0.125,3,1,2.5,0.5,1.5,2.14,0.85,0.8,1,0.6,1
11,MEA_r_new,urb,new,1,1.52,0.125,3,1,2.5,0.5,1.5,2.14,0.85,0.8,0.25,0.6,1
12,NAM_r_new,rur,new,1,3.7,0.125,3,1,1.39,0.5,1.5,2.14,0.85,0.8,1,0.6,0.34
13,NAM_u_new,urb,new,1,1.52,0.125,3,1,1.39,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.34
14,PAO_r_new,rur,new,1,3.7,0.125,3,1,0.94,0.5,1.5,2.14,0.85,0.8,1,0.6,0.35
15,PAO_u_new,urb,new,1,1.52,0.125,3,1,0.94,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.35
16,PAS_r_new,rur,new,1,3.7,0.125,3,1,3.025,0.5,1.5,2.14,0.85,0.8,1,0.6,2.7
17,PAS_u_new,urb,new,1,1.52,0.125,3,1,3.025,0.5,1.5,2.14,0.85,0.8,0.25,0.6,2.7
18,SAS_r_new,rur,new,1,3.7,0.125,3,1,3.025,0.5,1.5,2.14,0.85,0.8,1,0.6,2.7
19,SAS_u_new,urb,new,1,1.52,0.125,3,1,3.025,0.5,1.5,2.14,0.85,0.8,0.25,0.6,2.7
