"region","material_type","year","eol_material","emission_factor"
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",3.07646906983334
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",3.07604358932002
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",3.0741744743782
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",3.07187180324001
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",3.07053488293342
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",3.0695247525308
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",3.06890466417002
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",3.06863588966687
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",3.06878886831918
"C-EEU-BGR","bio-based_polypropylene",2020,"polypropylene",2.54759797518348
"C-EEU-BGR","bio-based_polypropylene",2025,"polypropylene",2.54740735065428
"C-EEU-BGR","bio-based_polypropylene",2030,"polypropylene",2.54659220306878
"C-EEU-BGR","bio-based_polypropylene",2035,"polypropylene",2.54557590874501
"C-EEU-BGR","bio-based_polypropylene",2040,"polypropylene",2.54499752959207
"C-EEU-BGR","bio-based_polypropylene",2045,"polypropylene",2.54456143052039
"C-EEU-BGR","bio-based_polypropylene",2050,"polypropylene",2.54428456283885
"C-EEU-BGR","bio-based_polypropylene",2055,"polypropylene",2.54416517397024
"C-EEU-BGR","bio-based_polypropylene",2060,"polypropylene",2.54423115803924
"C-EEU-BGR","bio-based_polystyrene",2020,"polystyrene",3.18769258447125
"C-EEU-BGR","bio-based_polystyrene",2025,"polystyrene",3.18748251304396
"C-EEU-BGR","bio-based_polystyrene",2030,"polystyrene",3.18655614784284
"C-EEU-BGR","bio-based_polystyrene",2035,"polystyrene",3.18541351365703
"C-EEU-BGR","bio-based_polystyrene",2040,"polystyrene",3.18474611977494
"C-EEU-BGR","bio-based_polystyrene",2045,"polystyrene",3.18424128270594
"C-EEU-BGR","bio-based_polystyrene",2050,"polystyrene",3.183927211608
"C-EEU-BGR","bio-based_polystyrene",2055,"polystyrene",3.18379107292138
"C-EEU-BGR","bio-based_polystyrene",2060,"polystyrene",3.18386671448285
"C-EEU-BGR","polypropylene",2020,"polypropylene",2.54759797518348
"C-EEU-BGR","polypropylene",2025,"polypropylene",2.54740735065428
"C-EEU-BGR","polypropylene",2030,"polypropylene",2.54659220306878
"C-EEU-BGR","polypropylene",2035,"polypropylene",2.54557590874501
"C-EEU-BGR","polypropylene",2040,"polypropylene",2.54499752959207
"C-EEU-BGR","polypropylene",2045,"polypropylene",2.54456143052039
"C-EEU-BGR","polypropylene",2050,"polypropylene",2.54428456283885
"C-EEU-BGR","polypropylene",2055,"polypropylene",2.54416517397024
"C-EEU-BGR","polypropylene",2060,"polypropylene",2.54423115803924
"C-EEU-BGR","polystyrene",2020,"polystyrene",3.18769258447125
"C-EEU-BGR","polystyrene",2025,"polystyrene",3.18748251304396
"C-EEU-BGR","polystyrene",2030,"polystyrene",3.18655614784284
"C-EEU-BGR","polystyrene",2035,"polystyrene",3.18541351365703
"C-EEU-BGR","polystyrene",2040,"polystyrene",3.18474611977494
"C-EEU-BGR","polystyrene",2045,"polystyrene",3.18424128270594
"C-EEU-BGR","polystyrene",2050,"polystyrene",3.183927211608
"C-EEU-BGR","polystyrene",2055,"polystyrene",3.18379107292138
"C-EEU-BGR","polystyrene",2060,"polystyrene",3.18386671448285
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",3.07646906983334
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",3.07604358932002
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",3.0741744743782
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",3.07187180324001
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",3.07053488293342
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",3.0695247525308
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",3.06890466417002
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",3.06863588966687
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",3.06878886831918
"C-EEU-CZE","bio-based_polypropylene",2020,"polypropylene",2.54759797518348
"C-EEU-CZE","bio-based_polypropylene",2025,"polypropylene",2.54740735065428
"C-EEU-CZE","bio-based_polypropylene",2030,"polypropylene",2.54659220306878
"C-EEU-CZE","bio-based_polypropylene",2035,"polypropylene",2.54557590874501
"C-EEU-CZE","bio-based_polypropylene",2040,"polypropylene",2.54499752959207
"C-EEU-CZE","bio-based_polypropylene",2045,"polypropylene",2.54456143052039
"C-EEU-CZE","bio-based_polypropylene",2050,"polypropylene",2.54428456283885
"C-EEU-CZE","bio-based_polypropylene",2055,"polypropylene",2.54416517397024
"C-EEU-CZE","bio-based_polypropylene",2060,"polypropylene",2.54423115803924
"C-EEU-CZE","bio-based_polystyrene",2020,"polystyrene",3.18769258447125
"C-EEU-CZE","bio-based_polystyrene",2025,"polystyrene",3.18748251304396
"C-EEU-CZE","bio-based_polystyrene",2030,"polystyrene",3.18655614784284
"C-EEU-CZE","bio-based_polystyrene",2035,"polystyrene",3.18541351365703
"C-EEU-CZE","bio-based_polystyrene",2040,"polystyrene",3.18474611977494
"C-EEU-CZE","bio-based_polystyrene",2045,"polystyrene",3.18424128270594
"C-EEU-CZE","bio-based_polystyrene",2050,"polystyrene",3.183927211608
"C-EEU-CZE","bio-based_polystyrene",2055,"polystyrene",3.18379107292138
"C-EEU-CZE","bio-based_polystyrene",2060,"polystyrene",3.18386671448285
"C-EEU-CZE","polypropylene",2020,"polypropylene",2.54759797518348
"C-EEU-CZE","polypropylene",2025,"polypropylene",2.54740735065428
"C-EEU-CZE","polypropylene",2030,"polypropylene",2.54659220306878
"C-EEU-CZE","polypropylene",2035,"polypropylene",2.54557590874501
"C-EEU-CZE","polypropylene",2040,"polypropylene",2.54499752959207
"C-EEU-CZE","polypropylene",2045,"polypropylene",2.54456143052039
"C-EEU-CZE","polypropylene",2050,"polypropylene",2.54428456283885
"C-EEU-CZE","polypropylene",2055,"polypropylene",2.54416517397024
"C-EEU-CZE","polypropylene",2060,"polypropylene",2.54423115803924
"C-EEU-CZE","polystyrene",2020,"polystyrene",3.18769258447125
"C-EEU-CZE","polystyrene",2025,"polystyrene",3.18748251304396
"C-EEU-CZE","polystyrene",2030,"polystyrene",3.18655614784284
"C-EEU-CZE","polystyrene",2035,"polystyrene",3.18541351365703
"C-EEU-CZE","polystyrene",2040,"polystyrene",3.18474611977494
"C-EEU-CZE","polystyrene",2045,"polystyrene",3.18424128270594
"C-EEU-CZE","polystyrene",2050,"polystyrene",3.183927211608
"C-EEU-CZE","polystyrene",2055,"polystyrene",3.18379107292138
"C-EEU-CZE","polystyrene",2060,"polystyrene",3.18386671448285
"C-EEU-EST","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",3.07646906983334
"C-EEU-EST","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",3.07604358932002
"C-EEU-EST","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",3.0741744743782
