region,urt,type,ownership
C-WEU-FIN,rur,WASH_MACH_COM,0
C-WEU-FIN,urb,WASH_MACH_COM,0.010452867
C-WEU-FRA,rur,WASH_MACH,1.082119099
C-WEU-FRA,urb,WASH_MACH,1.082119099
C-WEU-FRA,rur,WASH_MACH_COM,0
C-WEU-FRA,urb,WASH_MACH_COM,0.010288697
C-WEU-GBR,rur,WASH_MACH,1
C-WEU-GBR,urb,WASH_MACH,1
C-WEU-GBR,rur,WASH_MACH_COM,0
C-WEU-GBR,urb,WASH_MACH_COM,0.011485853
C-WEU-GRC,rur,WASH_MACH,1.221276937
C-WEU-GRC,urb,WASH_MACH,1.221276937
C-WEU-GRC,rur,WASH_MACH_COM,0
C-WEU-GRC,urb,WASH_MACH_COM,0.010125392
C-WEU-IRL,rur,WASH_MACH,1.076474846
C-WEU-IRL,urb,WASH_MACH,1.076474846
C-WEU-IRL,rur,WASH_MACH_COM,0
C-WEU-IRL,urb,WASH_MACH_COM,0.010182011
C-WEU-ITA,rur,WASH_MACH,1.087819086
C-WEU-ITA,urb,WASH_MACH,1.087819086
C-WEU-ITA,rur,WASH_MACH_COM,0
C-WEU-ITA,urb,WASH_MACH_COM,0.010345932
C-WEU-LUX,rur,WASH_MACH,1
C-WEU-LUX,urb,WASH_MACH,1
C-WEU-LUX,rur,WASH_MACH_COM,0
C-WEU-LUX,urb,WASH_MACH_COM,0.010567366
C-WEU-MLT,rur,WASH_MACH,1
C-WEU-MLT,urb,WASH_MACH,1
C-WEU-MLT,rur,WASH_MACH_COM,0
C-WEU-MLT,urb,WASH_MACH_COM,0.009802417
C-WEU-NLD,rur,WASH_MACH,1.040309918
C-WEU-NLD,urb,WASH_MACH,1.040309918
C-WEU-NLD,rur,WASH_MACH_COM,0
C-WEU-NLD,urb,WASH_MACH_COM,0.010484172
C-WEU-NOR,rur,WASH_MACH,1
C-WEU-NOR,urb,WASH_MACH,1
C-WEU-NOR,rur,WASH_MACH_COM,0
C-WEU-NOR,urb,WASH_MACH_COM,0.011485853
C-WEU-PRT,rur,WASH_MACH,1.109230209
C-WEU-PRT,urb,WASH_MACH,1.109230209
C-WEU-PRT,rur,WASH_MACH_COM,0
C-WEU-PRT,urb,WASH_MACH_COM,0.010385372
C-WEU-SWE,rur,WASH_MACH,1
C-WEU-SWE,urb,WASH_MACH,1
C-WEU-SWE,rur,WASH_MACH_COM,0
C-WEU-SWE,urb,WASH_MACH_COM,0.011485853
