region,year,type,generation,reuse_rate
C-EEU-BGR,2000,WASH_MACH,1,0.03
C-EEU-BGR,2000,WASH_MACH,2,0
C-EEU-BGR,2001,WASH_MACH,1,0.03
C-EEU-BGR,2001,WASH_MACH,2,0
C-EEU-BGR,2002,WASH_MACH,1,0.03
C-EEU-BGR,2002,WASH_MACH,2,0
C-EEU-BGR,2003,WASH_MACH,1,0.03
C-EEU-BGR,2003,WASH_MACH,2,0
C-EEU-BGR,2004,WASH_MACH,1,0.03
C-EEU-BGR,2004,WASH_MACH,2,0
C-EEU-BGR,2005,WASH_MACH,1,0.03
C-EEU-BGR,2005,WASH_MACH,2,0
C-EEU-BGR,2006,WASH_MACH,1,0.03
C-EEU-BGR,2006,WASH_MACH,2,0
C-EEU-BGR,2007,WASH_MACH,1,0.03
C-EEU-BGR,2007,WASH_MACH,2,0
C-EEU-BGR,2008,WASH_MACH,1,0.03
C-EEU-BGR,2008,WASH_MACH,2,0
C-EEU-BGR,2009,WASH_MACH,1,0.03
C-EEU-BGR,2009,WASH_MACH,2,0
C-EEU-BGR,2010,WASH_MACH,1,0.03
C-EEU-BGR,2010,WASH_MACH,2,0
C-EEU-BGR,2011,WASH_MACH,1,0.03
C-EEU-BGR,2011,WASH_MACH,2,0
C-EEU-BGR,2012,WASH_MACH,1,0.03
C-EEU-BGR,2012,WASH_MACH,2,0
C-EEU-BGR,2013,WASH_MACH,1,0.03
C-EEU-BGR,2013,WASH_MACH,2,0
C-EEU-BGR,2014,WASH_MACH,1,0.03
C-EEU-BGR,2014,WASH_MACH,2,0
C-EEU-BGR,2015,WASH_MACH,1,0.03
C-EEU-BGR,2015,WASH_MACH,2,0
C-EEU-BGR,2016,WASH_MACH,1,0.03
C-EEU-BGR,2016,WASH_MACH,2,0
C-EEU-BGR,2017,WASH_MACH,1,0.03
C-EEU-BGR,2017,WASH_MACH,2,0
C-EEU-BGR,2018,WASH_MACH,1,0.03
C-EEU-BGR,2018,WASH_MACH,2,0
C-EEU-BGR,2019,WASH_MACH,1,0.03
C-EEU-BGR,2019,WASH_MACH,2,0
C-EEU-BGR,2020,WASH_MACH,1,0.03
C-EEU-BGR,2020,WASH_MACH,2,0
C-EEU-BGR,2021,WASH_MACH,1,0.03
C-EEU-BGR,2021,WASH_MACH,2,0
C-EEU-BGR,2022,WASH_MACH,1,0.03
C-EEU-BGR,2022,WASH_MACH,2,0
C-EEU-BGR,2023,WASH_MACH,1,0.03
C-EEU-BGR,2023,WASH_MACH,2,0
C-EEU-BGR,2024,WASH_MACH,1,0.03
C-EEU-BGR,2024,WASH_MACH,2,0
C-EEU-BGR,2025,WASH_MACH,1,0.03
C-EEU-BGR,2025,WASH_MACH,2,0
C-EEU-BGR,2026,WASH_MACH,1,0.03
C-EEU-BGR,2026,WASH_MACH,2,0
C-EEU-BGR,2027,WASH_MACH,1,0.03
C-EEU-BGR,2027,WASH_MACH,2,0
C-EEU-BGR,2028,WASH_MACH,1,0.03
C-EEU-BGR,2028,WASH_MACH,2,0
C-EEU-BGR,2029,WASH_MACH,1,0.03
C-EEU-BGR,2029,WASH_MACH,2,0
C-EEU-BGR,2030,WASH_MACH,1,0.1
C-EEU-BGR,2030,WASH_MACH,2,0
C-EEU-BGR,2031,WASH_MACH,1,0.1
C-EEU-BGR,2031,WASH_MACH,2,0
C-EEU-BGR,2032,WASH_MACH,1,0.1
C-EEU-BGR,2032,WASH_MACH,2,0
C-EEU-BGR,2033,WASH_MACH,1,0.1
C-EEU-BGR,2033,WASH_MACH,2,0
C-EEU-BGR,2034,WASH_MACH,1,0.1
C-EEU-BGR,2034,WASH_MACH,2,0
C-EEU-BGR,2035,WASH_MACH,1,0.1
C-EEU-BGR,2035,WASH_MACH,2,0
C-EEU-BGR,2036,WASH_MACH,1,0.1
C-EEU-BGR,2036,WASH_MACH,2,0
C-EEU-BGR,2037,WASH_MACH,1,0.1
C-EEU-BGR,2037,WASH_MACH,2,0
C-EEU-BGR,2038,WASH_MACH,1,0.1
C-EEU-BGR,2038,WASH_MACH,2,0
C-EEU-BGR,2039,WASH_MACH,1,0.1
C-EEU-BGR,2039,WASH_MACH,2,0
C-EEU-BGR,2040,WASH_MACH,1,0.1
C-EEU-BGR,2040,WASH_MACH,2,0
C-EEU-BGR,2041,WASH_MACH,1,0.1
C-EEU-BGR,2041,WASH_MACH,2,0
C-EEU-BGR,2042,WASH_MACH,1,0.1
C-EEU-BGR,2042,WASH_MACH,2,0
C-EEU-BGR,2043,WASH_MACH,1,0.1
C-EEU-BGR,2043,WASH_MACH,2,0
C-EEU-BGR,2044,WASH_MACH,1,0.1
C-EEU-BGR,2044,WASH_MACH,2,0
