region,type,material_type,year,reuse,unknown,recycling,unmanaged_solid_waste_disposal_site,downcycling,managed_solid_waste_disposal_site,incineration_energy,incineration,open_burning,composting
C-EEU-BGR,WASH_MACH,aluminium,2020,0,0.170909091,0.413882182,0,0.382045091,0.033163636,0,0,0,0
C-EEU-BGR,WASH_MACH,copper,2020,0,0.170909091,0.222859636,0,0.573067636,0.033163636,0,0,0,0
C-EEU-BGR,WASH_MACH,glass,2020,0,0.170909091,0,0,0.829090909,0,0,0,0,0
C-EEU-BGR,WASH_MACH,other_materials,2020,0,0.170909091,0,0,0.690829231,0.138261678,0,0,0,0
C-EEU-BGR,WASH_MACH,acrylonitrile_butadiene_styrene,2020,0,0.170909091,0.325003636,0,0.338269091,0.082909091,0.082909091,0,0,0
C-EEU-BGR,WASH_MACH,other_plastics,2020,0,0.170909091,0,0,0.248727273,0.580363636,0,0,0,0
C-EEU-BGR,WASH_MACH,polypropylene,2020,0,0.170909091,0.444392727,0,0.21888,6.92031e-5,0.165748979,0,0,0
C-EEU-BGR,WASH_MACH,bio-based_polypropylene,2020,0,0.2,0,0,0,0.8,0,0,0,0
C-EEU-BGR,WASH_MACH,steel,2020,0.012015471,0.170909091,0.531099035,0,0.285976403,0,0,0,0,0
C-EEU-BGR,WASH_MACH,aluminium,2025,0,0.170909091,0.413882182,0,0.382045091,0.033163636,0,0,0,0
C-EEU-BGR,WASH_MACH,copper,2025,0,0.170909091,0.222859636,0,0.573067636,0.033163636,0,0,0,0
C-EEU-BGR,WASH_MACH,glass,2025,0,0.170909091,0,0,0.829090909,0,0,0,0,0
C-EEU-BGR,WASH_MACH,other_materials,2025,0,0.170909091,0,0,0.690829231,0.138261678,0,0,0,0
C-EEU-BGR,WASH_MACH,acrylonitrile_butadiene_styrene,2025,0,0.170909091,0.325003636,0,0.338269091,0.082909091,0.082909091,0,0,0
C-EEU-BGR,WASH_MACH,other_plastics,2025,0,0.170909091,0,0,0.248727273,0.580363636,0,0,0,0
C-EEU-BGR,WASH_MACH,polypropylene,2025,0,0.170909091,0.444392727,0,0.21888,6.92031e-5,0.165748979,0,0,0
C-EEU-BGR,WASH_MACH,bio-based_polypropylene,2025,0,0.2,0,0,0,0.8,0,0,0,0
C-EEU-BGR,WASH_MACH,steel,2025,0.012015471,0.170909091,0.531099035,0,0.285976403,0,0,0,0,0
C-EEU-BGR,WASH_MACH,aluminium,2030,0,0.170909091,0.413882182,0,0.382045091,0.033163636,0,0,0,0
C-EEU-BGR,WASH_MACH,copper,2030,0,0.170909091,0.222859636,0,0.573067636,0.033163636,0,0,0,0
C-EEU-BGR,WASH_MACH,glass,2030,0,0.170909091,0,0,0.829090909,0,0,0,0,0
C-EEU-BGR,WASH_MACH,other_materials,2030,0,0.170909091,0,0,0.690829231,0.138261678,0,0,0,0
C-EEU-BGR,WASH_MACH,acrylonitrile_butadiene_styrene,2030,0,0.170909091,0.325003636,0,0.338269091,0.082909091,0.082909091,0,0,0
C-EEU-BGR,WASH_MACH,other_plastics,2030,0,0.170909091,0,0,0.248727273,0.580363636,0,0,0,0
