"region","fuel","year","emission_factor"
"C-EEU-HRV","gas",2045,56.1
"C-EEU-HRV","electricity",2045,7.03080493016241
"C-EEU-HRV","gas",2050,56.1
"C-EEU-HRV","electricity",2050,6.52869174477698
"C-EEU-HRV","gas",2055,56.1
"C-EEU-HRV","electricity",2055,0.30861296596348
"C-EEU-HRV","gas",2060,56.1
"C-EEU-HRV","electricity",2060,0.320501129070465
"C-EEU-HRV","gas",2065,56.1
"C-EEU-HRV","electricity",2065,0.360998332968164
"C-EEU-HRV","gas",2070,56.1
"C-EEU-HRV","electricity",2070,0.401495536865861
"C-EEU-HRV","gas",2075,56.1
"C-EEU-HRV","electricity",2075,0.453068582839596
"C-EEU-HRV","gas",2080,56.1
"C-EEU-HRV","electricity",2080,0.504641628813331
"C-EEU-HRV","gas",2085,56.1
"C-EEU-HRV","electricity",2085,0.458631318048732
"C-EEU-HRV","gas",2090,56.1
"C-EEU-HRV","electricity",2090,0.412621007284134
"C-EEU-HRV","gas",2095,56.1
"C-EEU-HRV","electricity",2095,0.380807996843121
"C-EEU-HRV","gas",2100,56.1
"C-EEU-HRV","electricity",2100,0.348994986402109
"C-EEU-HUN","gas",2015,56.1
"C-EEU-HUN","electricity",2015,120.870004218226
"C-EEU-HUN","gas",2020,56.1
"C-EEU-HUN","electricity",2020,62.3103287201451
"C-EEU-HUN","gas",2025,56.1
"C-EEU-HUN","electricity",2025,62.0826063973012
"C-EEU-HUN","gas",2030,56.1
"C-EEU-HUN","electricity",2030,46.7808556265147
"C-EEU-HUN","gas",2035,56.1
"C-EEU-HUN","electricity",2035,10.0402195882258
"C-EEU-HUN","gas",2040,56.1
"C-EEU-HUN","electricity",2040,8.38849163021043
"C-EEU-HUN","gas",2045,56.1
"C-EEU-HUN","electricity",2045,7.03080493016241
"C-EEU-HUN","gas",2050,56.1
"C-EEU-HUN","electricity",2050,6.52869174477698
"C-EEU-HUN","gas",2055,56.1
"C-EEU-HUN","electricity",2055,0.350379130743348
"C-EEU-HUN","gas",2060,56.1
"C-EEU-HUN","electricity",2060,0.363876179522735
"C-EEU-HUN","gas",2065,56.1
"C-EEU-HUN","electricity",2065,0.409854076319498
"C-EEU-HUN","gas",2070,56.1
"C-EEU-HUN","electricity",2070,0.45583197311626
"C-EEU-HUN","gas",2075,56.1
"C-EEU-HUN","electricity",2075,0.514384662118323
"C-EEU-HUN","gas",2080,56.1
"C-EEU-HUN","electricity",2080,0.572937351120386
"C-EEU-HUN","gas",2085,56.1
"C-EEU-HUN","electricity",2085,0.520700230620274
"C-EEU-HUN","gas",2090,56.1
"C-EEU-HUN","electricity",2090,0.468463110120162
"C-EEU-HUN","gas",2095,56.1
"C-EEU-HUN","electricity",2095,0.432344682918467
"C-EEU-HUN","gas",2100,56.1
"C-EEU-HUN","electricity",2100,0.396226255716772
"C-EEU-LTU","gas",2015,56.1
"C-EEU-LTU","electricity",2015,108.88341987072
"C-EEU-LTU","gas",2020,56.1
"C-EEU-LTU","electricity",2020,62.3103287201451
"C-EEU-LTU","gas",2025,56.1
"C-EEU-LTU","electricity",2025,62.0826063973012
"C-EEU-LTU","gas",2030,56.1
"C-EEU-LTU","electricity",2030,46.7808556265147
"C-EEU-LTU","gas",2035,56.1
"C-EEU-LTU","electricity",2035,10.0402195882258
"C-EEU-LTU","gas",2040,56.1
"C-EEU-LTU","electricity",2040,8.38849163021043
"C-EEU-LTU","gas",2045,56.1
"C-EEU-LTU","electricity",2045,7.03080493016241
"C-EEU-LTU","gas",2050,56.1
"C-EEU-LTU","electricity",2050,6.52869174477698
"C-EEU-LTU","gas",2055,56.1
"C-EEU-LTU","electricity",2055,0.315632304751035
"C-EEU-LTU","gas",2060,56.1
"C-EEU-LTU","electricity",2060,0.327790861696299
"C-EEU-LTU","gas",2065,56.1
"C-EEU-LTU","electricity",2065,0.369209166213407
"C-EEU-LTU","gas",2070,56.1
"C-EEU-LTU","electricity",2070,0.410627470730514
"C-EEU-LTU","gas",2075,56.1
"C-EEU-LTU","electricity",2075,0.463373535086239
"C-EEU-LTU","gas",2080,56.1
"C-EEU-LTU","electricity",2080,0.516119599441964
"C-EEU-LTU","gas",2085,56.1
"C-EEU-LTU","electricity",2085,0.469062793569913
"C-EEU-LTU","gas",2090,56.1
"C-EEU-LTU","electricity",2090,0.422005987697861
"C-EEU-LTU","gas",2095,56.1
"C-EEU-LTU","electricity",2095,0.389469396841359
"C-EEU-LTU","gas",2100,56.1
"C-EEU-LTU","electricity",2100,0.356932805984856
"C-EEU-LVA","gas",2015,56.1
"C-EEU-LVA","electricity",2015,82.9007418612965
"C-EEU-LVA","gas",2020,56.1
"C-EEU-LVA","electricity",2020,62.3103287201451
"C-EEU-LVA","gas",2025,56.1
"C-EEU-LVA","electricity",2025,62.0826063973012
"C-EEU-LVA","gas",2030,56.1
"C-EEU-LVA","electricity",2030,46.7808556265147
"C-EEU-LVA","gas",2035,56.1
"C-EEU-LVA","electricity",2035,10.0402195882258
"C-EEU-LVA","gas",2040,56.1
"C-EEU-LVA","electricity",2040,8.38849163021043
"C-EEU-LVA","gas",2045,56.1
"C-EEU-LVA","electricity",2045,7.03080493016241
"C-EEU-LVA","gas",2050,56.1
"C-EEU-LVA","electricity",2050,6.52869174477698
"C-EEU-LVA","gas",2055,56.1
"C-EEU-LVA","electricity",2055,0.240313467838531
"C-EEU-LVA","gas",2060,56.1
"C-EEU-LVA","electricity",2060,0.249570647599435
"C-EEU-LVA","gas",2065,56.1
"C-EEU-LVA","electricity",2065,0.281105367717357
"C-EEU-LVA","gas",2070,56.1
"C-EEU-LVA","electricity",2070,0.312640087835278
"C-EEU-LVA","gas",2075,56.1
"C-EEU-LVA","electricity",2075,0.35279944240501
"C-EEU-LVA","gas",2080,56.1
"C-EEU-LVA","electricity",2080,0.392958796974743
"C-EEU-LVA","gas",2085,56.1
"C-EEU-LVA","electricity",2085,0.357131082148667
"C-EEU-LVA","gas",2090,56.1
"C-EEU-LVA","electricity",2090,0.32130336732259
"C-EEU-LVA","gas",2095,56.1
"C-EEU-LVA","electricity",2095,0.296530931603322
"C-EEU-LVA","gas",2100,56.1
"C-EEU-LVA","electricity",2100,0.271758495884053
"C-EEU-POL","gas",2015,56.1
"C-EEU-POL","electricity",2015,346.827463132373
"C-EEU-POL","gas",2020,56.1
"C-EEU-POL","electricity",2020,62.3103287201451
"C-EEU-POL","gas",2025,56.1
"C-EEU-POL","electricity",2025,62.0826063973012
"C-EEU-POL","gas",2030,56.1
"C-EEU-POL","electricity",2030,46.7808556265147
"C-EEU-POL","gas",2035,56.1
"C-EEU-POL","electricity",2035,10.0402195882258
"C-EEU-POL","gas",2040,56.1
"C-EEU-POL","electricity",2040,8.38849163021043
"C-EEU-POL","gas",2045,56.1
"C-EEU-POL","electricity",2045,7.03080493016241
"C-EEU-POL","gas",2050,56.1
"C-EEU-POL","electricity",2050,6.52869174477698
"C-EEU-POL","gas",2055,56.1
"C-EEU-POL","electricity",2055,1.00538678587981
"C-EEU-POL","gas",2060,56.1
"C-EEU-POL","electricity",2060,1.04411556079966
"C-EEU-POL","gas",2065,56.1
"C-EEU-POL","electricity",2065,1.1760457068216
"C-EEU-POL","gas",2070,56.1
"C-EEU-POL","electricity",2070,1.30797585284354
"C-EEU-POL","gas",2075,56.1
"C-EEU-POL","electricity",2075,1.47598842732397
"C-EEU-POL","gas",2080,56.1
"C-EEU-POL","electricity",2080,1.6440010018044
"C-EEU-POL","gas",2085,56.1
"C-EEU-POL","electricity",2085,1.49411048015203
"C-EEU-POL","gas",2090,56.1
"C-EEU-POL","electricity",2090,1.34421995849966
"C-EEU-POL","gas",2095,56.1
"C-EEU-POL","electricity",2095,1.24058082520338
"C-EEU-POL","gas",2100,56.1
"C-EEU-POL","electricity",2100,1.13694169190709
"C-EEU-ROU","gas",2015,56.1
"C-EEU-ROU","electricity",2015,130.448987828211
"C-EEU-ROU","gas",2020,56.1
"C-EEU-ROU","electricity",2020,62.3103287201451
"C-EEU-ROU","gas",2025,56.1
"C-EEU-ROU","electricity",2025,62.0826063973012
"C-EEU-ROU","gas",2030,56.1
"C-EEU-ROU","electricity",2030,46.7808556265147
"C-EEU-ROU","gas",2035,56.1
