region,year,urt,n_hh
C-EEU-BGR,2000,rur,816893.6031840694
C-EEU-BGR,2001,rur,806716.0775066558
C-EEU-BGR,2002,rur,796542.4535462665
C-EEU-BGR,2003,rur,786372.7313029016
C-EEU-BGR,2004,rur,776206.9107765614
C-EEU-BGR,2005,rur,766135.9625505176
C-EEU-BGR,2006,rur,755976.7566538204
C-EEU-BGR,2007,rur,745821.4524741473
C-EEU-BGR,2008,rur,735670.0500114989
C-EEU-BGR,2009,rur,725522.5492658748
C-EEU-BGR,2010,rur,715378.9502372751
C-EEU-BGR,2011,rur,723214.5288737566
C-EEU-BGR,2012,rur,730544.2368275656
C-EEU-BGR,2013,rur,737368.0740987019
C-EEU-BGR,2014,rur,743686.0406871655
C-EEU-BGR,2015,rur,749498.1365929565
C-EEU-BGR,2016,rur,735827.8015490007
C-EEU-BGR,2017,rur,722230.8315852927
C-EEU-BGR,2018,rur,708707.2267018325
C-EEU-BGR,2019,rur,695256.9868986204
C-EEU-BGR,2020,rur,681880.11218
C-EEU-BGR,2025,rur,608338.79486
C-EEU-BGR,2030,rur,551195.89644
C-EEU-BGR,2035,rur,501726.54063
C-EEU-BGR,2040,rur,458958.53231
C-EEU-BGR,2045,rur,421977.32383
C-EEU-BGR,2050,rur,390129.58399
C-EEU-BGR,2000,urb,1773705.4618718103
C-EEU-BGR,2001,urb,1783378.6290920847
C-EEU-BGR,2002,urb,1793047.8945953343
C-EEU-BGR,2003,urb,1802713.2583815595
C-EEU-BGR,2004,urb,1812374.7204507606
C-EEU-BGR,2005,urb,1822248.6536544845
C-EEU-BGR,2006,urb,1831903.5010940426
C-EEU-BGR,2007,urb,1841554.446816576
C-EEU-BGR,2008,urb,1851201.4908220852
C-EEU-BGR,2009,urb,1860844.63311057
C-EEU-BGR,2010,urb,1870483.87368203
C-EEU-BGR,2011,urb,1928040.0585761385
C-EEU-BGR,2012,urb,1986102.1141529197
C-EEU-BGR,2013,urb,2044670.0404123736
C-EEU-BGR,2014,urb,2103743.8373545
C-EEU-BGR,2015,urb,2163323.504979299
C-EEU-BGR,2016,urb,2167510.2464028033
C-EEU-BGR,2017,urb,2171623.6227460606
C-EEU-BGR,2018,urb,2175663.6340090698
C-EEU-BGR,2019,urb,2179630.2801918313
C-EEU-BGR,2020,urb,2183523.56129
C-EEU-BGR,2025,urb,2174164.95514
C-EEU-BGR,2030,urb,2182368.35888
C-EEU-BGR,2035,urb,2186478.24198
C-EEU-BGR,2040,urb,2188624.5788
C-EEU-BGR,2045,urb,2190723.58526
C-EEU-BGR,2050,urb,2195050.88113
C-EEU-CZE,2000,rur,1256744.5687028526
C-EEU-CZE,2001,rur,1249216.3419942372
C-EEU-CZE,2002,rur,1241510.7907323733
C-EEU-CZE,2003,rur,1233627.9149172606
C-EEU-CZE,2004,rur,1225567.7145488998
C-EEU-CZE,2005,rur,1212024.1887866477
C-EEU-CZE,2006,rur,1203676.268198582
C-EEU-CZE,2007,rur,1195151.023057268
C-EEU-CZE,2008,rur,1186448.4533627052
C-EEU-CZE,2009,rur,1177568.5591148944
C-EEU-CZE,2010,rur,1168511.340313835
C-EEU-CZE,2011,rur,1163385.9895037664
C-EEU-CZE,2012,rur,1157971.160915029
C-EEU-CZE,2013,rur,1152266.8545476224
C-EEU-CZE,2014,rur,1146273.0704015472
C-EEU-CZE,2015,rur,1139989.8084768031
C-EEU-CZE,2016,rur,1131275.064563414
C-EEU-CZE,2017,rur,1122333.5863121632
C-EEU-CZE,2018,rur,1113165.3737230503
C-EEU-CZE,2019,rur,1103770.426796076
C-EEU-CZE,2020,rur,1094148.74553
C-EEU-CZE,2025,rur,1061579.3977
C-EEU-CZE,2030,rur,990408.82957
C-EEU-CZE,2035,rur,924882.05011
C-EEU-CZE,2040,rur,867505.52315
C-EEU-CZE,2045,rur,818560.11446
C-EEU-CZE,2050,rur,776398.3373
C-EEU-CZE,2000,urb,2671564.285707159
C-EEU-CZE,2001,urb,2702449.2765422724
C-EEU-CZE,2002,urb,2733511.591930634
C-EEU-CZE,2003,urb,2764751.2318722433
C-EEU-CZE,2004,urb,2796168.1963671013
C-EEU-CZE,2005,urb,2815437.061916637
C-EEU-CZE,2006,urb,2847141.7466312004
C-EEU-CZE,2007,urb,2879023.755899012
C-EEU-CZE,2008,urb,2911083.0897200718
C-EEU-CZE,2009,urb,2943319.7480943804
C-EEU-CZE,2010,urb,2975733.7310219365
C-EEU-CZE,2011,urb,3018988.399359514
C-EEU-CZE,2012,urb,3062532.545475761
C-EEU-CZE,2013,urb,3106366.169370676
C-EEU-CZE,2014,urb,3150489.2710442604
C-EEU-CZE,2015,urb,3194901.850496513
C-EEU-CZE,2016,urb,3233481.4966572393
C-EEU-CZE,2017,urb,3272287.877155826
C-EEU-CZE,2018,urb,3311320.991992275
C-EEU-CZE,2019,urb,3350580.8411665866
C-EEU-CZE,2020,urb,3390067.42468
C-EEU-CZE,2025,urb,3656131.90664
C-EEU-CZE,2030,urb,3770714.28154
C-EEU-CZE,2035,urb,3873468.40443
C-EEU-CZE,2040,urb,3978623.31406
C-EEU-CZE,2045,urb,4095060.83792
C-EEU-CZE,2050,urb,4221659.71148
C-EEU-EST,2000,rur,222769.34547376278
C-EEU-EST,2001,rur,219865.40639841877
C-EEU-EST,2002,rur,216975.22296294547
C-EEU-EST,2003,rur,214098.79516734282
C-EEU-EST,2004,rur,211236.123011611
C-EEU-EST,2005,rur,207933.2140925874
C-EEU-EST,2006,rur,205102.81684777944
C-EEU-EST,2007,rur,202286.17524284226
C-EEU-EST,2008,rur,199483.28927777568
C-EEU-EST,2009,rur,196694.15895257995
C-EEU-EST,2010,rur,193918.7842672549
C-EEU-EST,2011,rur,192838.32415968768
C-EEU-EST,2012,rur,191733.96938033198
C-EEU-EST,2013,rur,190605.7199291878
C-EEU-EST,2014,rur,189453.5758062552
C-EEU-EST,2015,rur,188277.53701153415
C-EEU-EST,2016,rur,187275.57849241834
C-EEU-EST,2017,rur,186245.02860161898
C-EEU-EST,2018,rur,185185.88733913613
C-EEU-EST,2019,rur,184098.15470496978
C-EEU-EST,2020,rur,182981.8307
C-EEU-EST,2025,rur,178123.14563
C-EEU-EST,2030,rur,166715.58619
C-EEU-EST,2035,rur,156529.36354
C-EEU-EST,2040,rur,145498.30985
C-EEU-EST,2045,rur,135906.29448
C-EEU-EST,2050,rur,127367.29049
C-EEU-EST,2000,urb,379765.9392653992
C-EEU-EST,2001,urb,380803.9478102583
C-EEU-EST,2002,urb,381828.2007152467
C-EEU-EST,2003,urb,382838.6979803645
C-EEU-EST,2004,urb,383835.43960561143
C-EEU-EST,2005,urb,383980.0601041946
C-EEU-EST,2006,urb,384944.5268185177
C-EEU-EST,2007,urb,385895.2378929702
C-EEU-EST,2008,urb,386832.19332755194
C-EEU-EST,2009,urb,387755.3931222629
C-EEU-EST,2010,urb,388664.8372771031
C-EEU-EST,2011,urb,392986.57136574195
C-EEU-EST,2012,urb,397332.2001261692
C-EEU-EST,2013,urb,401701.72355838504
C-EEU-EST,2014,urb,406095.1416623892
C-EEU-EST,2015,urb,410512.4544381819
C-EEU-EST,2016,urb,415392.7867613545
C-EEU-EST,2017,urb,420301.71045621054
C-EEU-EST,2018,urb,425239.2255227503
C-EEU-EST,2019,urb,430205.3319609734
C-EEU-EST,2020,urb,435200.02977
C-EEU-EST,2025,urb,463600.1877
C-EEU-EST,2030,urb,473316.60894
C-EEU-EST,2035,urb,483384.63646
C-EEU-EST,2040,urb,487405.73056
C-EEU-EST,2045,urb,492649.31777
C-EEU-EST,2050,urb,498423.94662
C-EEU-HRV,2000,rur,772617.5135520004
C-EEU-HRV,2001,rur,768738.9564629432
C-EEU-HRV,2002,rur,764736.1905803938
