region,urt,year,cool_use_Kwh,fuel
C-EEU-BGR,rur,2020,213209985.58623397,electricity
C-EEU-BGR,rur,2025,239718220.08426693,electricity
C-EEU-BGR,rur,2030,257190555.99877998,electricity
C-EEU-BGR,rur,2035,271262341.6124678,electricity
C-EEU-BGR,rur,2040,275330049.63192165,electricity
C-EEU-BGR,rur,2045,276974415.34445244,electricity
C-EEU-BGR,rur,2050,270740360.63592815,electricity
C-EEU-BGR,rur,2055,263605663.473604,electricity
C-EEU-BGR,rur,2060,254067133.79743963,electricity
C-EEU-BGR,rur,2070,235669436.7912904,electricity
C-EEU-BGR,rur,2080,212764654.82322165,electricity
C-EEU-BGR,rur,2090,194467670.68605733,electricity
C-EEU-BGR,rur,2100,176390288.58041066,electricity
C-EEU-BGR,urb,2020,685530353.4580071,electricity
C-EEU-BGR,urb,2025,816322887.2870742,electricity
C-EEU-BGR,urb,2030,932754461.5220693,electricity
C-EEU-BGR,urb,2035,1025979789.2997137,electricity
C-EEU-BGR,urb,2040,1119908621.4077792,electricity
C-EEU-BGR,urb,2045,1182826667.7194872,electricity
C-EEU-BGR,urb,2050,1252514670.2958,electricity
C-EEU-BGR,urb,2055,1303680713.0096328,electricity
C-EEU-BGR,urb,2060,1349194604.5381713,electricity
C-EEU-BGR,urb,2070,1407598647.1843014,electricity
C-EEU-BGR,urb,2080,1423581232.7371264,electricity
C-EEU-BGR,urb,2090,1421365148.4692545,electricity
C-EEU-BGR,urb,2100,1414367161.7493203,electricity
C-EEU-CZE,rur,2020,44152102.99968846,electricity
C-EEU-CZE,rur,2025,48185631.439566046,electricity
C-EEU-CZE,rur,2030,49706682.73019789,electricity
C-EEU-CZE,rur,2035,49768869.68139228,electricity
C-EEU-CZE,rur,2040,49665044.687876955,electricity
C-EEU-CZE,rur,2045,48866126.81194158,electricity
C-EEU-CZE,rur,2050,47591768.88527569,electricity
C-EEU-CZE,rur,2055,46114572.33017738,electricity
C-EEU-CZE,rur,2060,44558547.28252583,electricity
C-EEU-CZE,rur,2070,40294766.230585515,electricity
C-EEU-CZE,rur,2080,35786082.40497884,electricity
C-EEU-CZE,rur,2090,31883859.84407802,electricity
C-EEU-CZE,rur,2100,28380411.52939447,electricity
C-EEU-CZE,urb,2020,163763893.32467058,electricity
C-EEU-CZE,urb,2025,200484501.04012436,electricity
C-EEU-CZE,urb,2030,223667423.98242706,electricity
C-EEU-CZE,urb,2035,242702711.9764842,electricity
C-EEU-CZE,urb,2040,260197247.3446546,electricity
C-EEU-CZE,urb,2045,277189081.5693308,electricity
C-EEU-CZE,urb,2050,293766079.43224716,electricity
C-EEU-CZE,urb,2055,309124575.41194504,electricity
C-EEU-CZE,urb,2060,322112801.7836921,electricity
C-EEU-CZE,urb,2070,338398152.04729545,electricity
C-EEU-CZE,urb,2080,347272209.1450528,electricity
C-EEU-CZE,urb,2090,354680226.53488207,electricity
C-EEU-CZE,urb,2100,358997675.0293066,electricity
C-EEU-EST,rur,2020,873821.8787670856,electricity
C-EEU-EST,rur,2025,1012706.5233305104,electricity
C-EEU-EST,rur,2030,1107452.0842240849,electricity
C-EEU-EST,rur,2035,1160928.9203373494,electricity
C-EEU-EST,rur,2040,1215638.4748820106,electricity
C-EEU-EST,rur,2045,1240919.985899385,electricity
C-EEU-EST,rur,2050,1257367.8682435744,electricity
C-EEU-EST,rur,2055,1255989.473743475,electricity
C-EEU-EST,rur,2060,1240951.390254341,electricity
