"region","material_type","year","eol_material","emission_factor"
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",0.115720293697576
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",0.115609621483123
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",0.115192064903263
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",0.114320275276462
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",0.113819803963663
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",0.11344543861671
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",0.112858358187053
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",0.112621699788334
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",0.11265996905878
"C-EEU-BGR","aluminium",2020,"aluminium",0.0221758463799673
"C-EEU-BGR","aluminium",2030,"aluminium",0.0180426585062294
"C-EEU-BGR","aluminium",2040,"aluminium",0.0125538624324788
"C-EEU-BGR","aluminium",2050,"aluminium",0.0109538827281565
"C-EEU-BGR","aluminium",2060,"aluminium",0.0106084153091852
"C-EEU-BGR","bio-based_polypropylene",2020,"polypropylene",0.107405709378054
"C-EEU-BGR","bio-based_polypropylene",2025,"polypropylene",0.107302955524906
"C-EEU-BGR","bio-based_polypropylene",2030,"polypropylene",0.106896091343874
"C-EEU-BGR","bio-based_polypropylene",2035,"polypropylene",0.106044960568825
"C-EEU-BGR","bio-based_polypropylene",2040,"polypropylene",0.105542997464415
"C-EEU-BGR","bio-based_polypropylene",2045,"polypropylene",0.105163405980452
"C-EEU-BGR","bio-based_polypropylene",2050,"polypropylene",0.10457007236849
"C-EEU-BGR","bio-based_polypropylene",2055,"polypropylene",0.104329515792481
"C-EEU-BGR","bio-based_polypropylene",2060,"polypropylene",0.104366191310934
"C-EEU-BGR","bio-based_polystyrene",2020,"polystyrene",0.131891546229211
"C-EEU-BGR","bio-based_polystyrene",2025,"polystyrene",0.131781857419977
"C-EEU-BGR","bio-based_polystyrene",2030,"polystyrene",0.131359957922461
"C-EEU-BGR","bio-based_polystyrene",2035,"polystyrene",0.130487072729939
"C-EEU-BGR","bio-based_polystyrene",2040,"polystyrene",0.129982896301235
"C-EEU-BGR","bio-based_polystyrene",2045,"polystyrene",0.129602671633561
"C-EEU-BGR","bio-based_polystyrene",2050,"polystyrene",0.129009069329305
"C-EEU-BGR","bio-based_polystyrene",2055,"polystyrene",0.128768357739421
"C-EEU-BGR","bio-based_polystyrene",2060,"polystyrene",0.128805296858053
"C-EEU-BGR","copper",2020,"copper",0.00539270750673704
"C-EEU-BGR","copper",2030,"copper",0.00525487788194886
"C-EEU-BGR","copper",2040,"copper",0.00463851580362222
"C-EEU-BGR","copper",2050,"copper",0.00406910261846527
"C-EEU-BGR","copper",2060,"copper",0.00394709372053634
"C-EEU-BGR","glass",2020,"glass",0.00536004154774015
"C-EEU-BGR","glass",2030,"glass",0.00527873637295789
"C-EEU-BGR","glass",2040,"glass",0.00477620264256572
"C-EEU-BGR","glass",2050,"glass",0.00428668631407529
"C-EEU-BGR","glass",2060,"glass",0.0042075035299545
"C-EEU-BGR","polypropylene",2020,"polypropylene",0.107405709378054
"C-EEU-BGR","polypropylene",2025,"polypropylene",0.107302955524906
"C-EEU-BGR","polypropylene",2030,"polypropylene",0.106896091343874
"C-EEU-BGR","polypropylene",2035,"polypropylene",0.106044960568825
"C-EEU-BGR","polypropylene",2040,"polypropylene",0.105542997464415
"C-EEU-BGR","polypropylene",2045,"polypropylene",0.105163405980452
"C-EEU-BGR","polypropylene",2050,"polypropylene",0.10457007236849
"C-EEU-BGR","polypropylene",2055,"polypropylene",0.104329515792481
"C-EEU-BGR","polypropylene",2060,"polypropylene",0.104366191310934
"C-EEU-BGR","polystyrene",2020,"polystyrene",0.131891546229211
"C-EEU-BGR","polystyrene",2025,"polystyrene",0.131781857419977
"C-EEU-BGR","polystyrene",2030,"polystyrene",0.131359957922461
"C-EEU-BGR","polystyrene",2035,"polystyrene",0.130487072729939
"C-EEU-BGR","polystyrene",2040,"polystyrene",0.129982896301235
"C-EEU-BGR","polystyrene",2045,"polystyrene",0.129602671633561
"C-EEU-BGR","polystyrene",2050,"polystyrene",0.129009069329305
"C-EEU-BGR","polystyrene",2055,"polystyrene",0.128768357739421
"C-EEU-BGR","polystyrene",2060,"polystyrene",0.128805296858053
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",0.115720293697576
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",0.115609621483123
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",0.115192064903263
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",0.114320275276462
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",0.113819803963663
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",0.11344543861671
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",0.112858358187053
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",0.112621699788334
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",0.11265996905878
"C-EEU-CZE","aluminium",2020,"aluminium",0.0221758463799673
"C-EEU-CZE","aluminium",2030,"aluminium",0.0180426585062294
"C-EEU-CZE","aluminium",2040,"aluminium",0.0125538624324788
"C-EEU-CZE","aluminium",2050,"aluminium",0.0109538827281565
"C-EEU-CZE","aluminium",2060,"aluminium",0.0106084153091852
"C-EEU-CZE","bio-based_polypropylene",2020,"polypropylene",0.107405709378054
