region,yrs_prod,type,material_type,material_intensity
C-EEU-BGR,2005,WASH_MACH,aluminium,2267.8
C-EEU-BGR,2005,WASH_MACH,copper,1267.3
C-EEU-BGR,2005,WASH_MACH,glass,1334
C-EEU-BGR,2005,WASH_MACH,other_materials,16474.9
C-EEU-BGR,2005,WASH_MACH,acrylonitrile_butadiene_styrene,1067.2
C-EEU-BGR,2005,WASH_MACH,other_plastics,6336.5
C-EEU-BGR,2005,WASH_MACH,polypropylene,4402.2
C-EEU-BGR,2005,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2005,WASH_MACH,steel,33550.1
C-EEU-BGR,2010,WASH_MACH,aluminium,2267.8
C-EEU-BGR,2010,WASH_MACH,copper,1267.3
C-EEU-BGR,2010,WASH_MACH,glass,1334
C-EEU-BGR,2010,WASH_MACH,other_materials,16474.9
C-EEU-BGR,2010,WASH_MACH,acrylonitrile_butadiene_styrene,1067.2
C-EEU-BGR,2010,WASH_MACH,other_plastics,6336.5
C-EEU-BGR,2010,WASH_MACH,polypropylene,4402.2
C-EEU-BGR,2010,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2010,WASH_MACH,steel,33550.1
C-EEU-BGR,2015,WASH_MACH,aluminium,2267.8
C-EEU-BGR,2015,WASH_MACH,copper,1267.3
C-EEU-BGR,2015,WASH_MACH,glass,1334
C-EEU-BGR,2015,WASH_MACH,other_materials,16474.9
C-EEU-BGR,2015,WASH_MACH,acrylonitrile_butadiene_styrene,1067.2
C-EEU-BGR,2015,WASH_MACH,other_plastics,6336.5
C-EEU-BGR,2015,WASH_MACH,polypropylene,4402.2
C-EEU-BGR,2015,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2015,WASH_MACH,steel,33550.1
C-EEU-BGR,2020,WASH_MACH,aluminium,2267.8
C-EEU-BGR,2020,WASH_MACH,copper,1267.3
C-EEU-BGR,2020,WASH_MACH,glass,1334
C-EEU-BGR,2020,WASH_MACH,other_materials,16474.9
C-EEU-BGR,2020,WASH_MACH,acrylonitrile_butadiene_styrene,1067.2
C-EEU-BGR,2020,WASH_MACH,other_plastics,6336.5
C-EEU-BGR,2020,WASH_MACH,polypropylene,4402.2
C-EEU-BGR,2020,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2020,WASH_MACH,steel,33550.1
C-EEU-BGR,2025,WASH_MACH,aluminium,2267.8
C-EEU-BGR,2025,WASH_MACH,copper,1267.3
C-EEU-BGR,2025,WASH_MACH,glass,1334
C-EEU-BGR,2025,WASH_MACH,other_materials,16474.9
C-EEU-BGR,2025,WASH_MACH,acrylonitrile_butadiene_styrene,1067.2
C-EEU-BGR,2025,WASH_MACH,other_plastics,6336.5
C-EEU-BGR,2025,WASH_MACH,polypropylene,4402.2
C-EEU-BGR,2025,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2025,WASH_MACH,steel,33550.1
C-EEU-BGR,2030,WASH_MACH,bio-based_polypropylene,3486.5424
C-EEU-BGR,2030,WASH_MACH,aluminium,1796.0976
C-EEU-BGR,2030,WASH_MACH,copper,1003.7016
C-EEU-BGR,2030,WASH_MACH,glass,1056.528
C-EEU-BGR,2030,WASH_MACH,other_materials,13048.1208
C-EEU-BGR,2030,WASH_MACH,acrylonitrile_butadiene_styrene,845.2224
C-EEU-BGR,2030,WASH_MACH,other_plastics,5018.508
C-EEU-BGR,2030,WASH_MACH,polypropylene,0
C-EEU-BGR,2030,WASH_MACH,steel,26571.6792
C-EEU-BGR,2035,WASH_MACH,bio-based_polypropylene,3486.5424
C-EEU-BGR,2035,WASH_MACH,aluminium,1796.0976
C-EEU-BGR,2035,WASH_MACH,copper,1003.7016
C-EEU-BGR,2035,WASH_MACH,glass,1056.528
C-EEU-BGR,2035,WASH_MACH,other_materials,13048.1208
C-EEU-BGR,2035,WASH_MACH,acrylonitrile_butadiene_styrene,845.2224
C-EEU-BGR,2035,WASH_MACH,other_plastics,5018.508
C-EEU-BGR,2035,WASH_MACH,polypropylene,0
C-EEU-BGR,2035,WASH_MACH,steel,26571.6792
C-EEU-BGR,2040,WASH_MACH,bio-based_polypropylene,3486.5424
C-EEU-BGR,2040,WASH_MACH,aluminium,1796.0976
C-EEU-BGR,2040,WASH_MACH,copper,1003.7016
C-EEU-BGR,2040,WASH_MACH,glass,1056.528
C-EEU-BGR,2040,WASH_MACH,other_materials,13048.1208
C-EEU-BGR,2040,WASH_MACH,acrylonitrile_butadiene_styrene,845.2224
C-EEU-BGR,2040,WASH_MACH,other_plastics,5018.508
C-EEU-BGR,2040,WASH_MACH,polypropylene,0
C-EEU-BGR,2040,WASH_MACH,steel,26571.6792
C-EEU-BGR,2045,WASH_MACH,bio-based_polypropylene,3486.5424
C-EEU-BGR,2045,WASH_MACH,aluminium,1796.0976
C-EEU-BGR,2045,WASH_MACH,copper,1003.7016
C-EEU-BGR,2045,WASH_MACH,glass,1056.528
C-EEU-BGR,2045,WASH_MACH,other_materials,13048.1208
C-EEU-BGR,2045,WASH_MACH,acrylonitrile_butadiene_styrene,845.2224
C-EEU-BGR,2045,WASH_MACH,other_plastics,5018.508
C-EEU-BGR,2045,WASH_MACH,polypropylene,0
C-EEU-BGR,2045,WASH_MACH,steel,26571.6792
C-EEU-BGR,2050,WASH_MACH,bio-based_polypropylene,3486.5424
C-EEU-BGR,2050,WASH_MACH,aluminium,1796.0976
C-EEU-BGR,2050,WASH_MACH,copper,1003.7016
C-EEU-BGR,2050,WASH_MACH,glass,1056.528
C-EEU-BGR,2050,WASH_MACH,other_materials,13048.1208
C-EEU-BGR,2050,WASH_MACH,acrylonitrile_butadiene_styrene,845.2224
C-EEU-BGR,2050,WASH_MACH,other_plastics,5018.508
C-EEU-BGR,2050,WASH_MACH,polypropylene,0
C-EEU-BGR,2050,WASH_MACH,steel,26571.6792
C-EEU-BGR,2005,WASH_MACH_COM,aluminium,29520
