region,material_type,year,eol_material,emission_factor
C-EEU-BGR,acrylonitrile_butadiene_styrene,2020,acrylonitrile_butadiene_styrene,3.077719304459472
C-EEU-BGR,acrylonitrile_butadiene_styrene,2025,acrylonitrile_butadiene_styrene,3.077358899582074
C-EEU-BGR,acrylonitrile_butadiene_styrene,2030,acrylonitrile_butadiene_styrene,3.07736794886039
C-EEU-BGR,acrylonitrile_butadiene_styrene,2035,acrylonitrile_butadiene_styrene,3.0775968023168825
C-EEU-BGR,acrylonitrile_butadiene_styrene,2040,acrylonitrile_butadiene_styrene,3.077772858974508
C-EEU-BGR,acrylonitrile_butadiene_styrene,2045,acrylonitrile_butadiene_styrene,3.077818841283687
C-EEU-BGR,acrylonitrile_butadiene_styrene,2050,acrylonitrile_butadiene_styrene,3.077949324948712
C-EEU-BGR,acrylonitrile_butadiene_styrene,2055,acrylonitrile_butadiene_styrene,3.078063148588866
C-EEU-BGR,acrylonitrile_butadiene_styrene,2060,acrylonitrile_butadiene_styrene,3.0782658103648832
C-EEU-BGR,bio-based_polypropylene,2020,bio-based_polypropylene,0.01836371319084318
C-EEU-BGR,bio-based_polypropylene,2025,bio-based_polypropylene,0.01820383610054854
C-EEU-BGR,bio-based_polypropylene,2030,bio-based_polypropylene,0.01820384895731308
C-EEU-BGR,bio-based_polypropylene,2035,bio-based_polypropylene,0.01830097317069246
C-EEU-BGR,bio-based_polypropylene,2040,bio-based_polypropylene,0.01837184294211491
C-EEU-BGR,bio-based_polypropylene,2045,bio-based_polypropylene,0.01838622039839244
C-EEU-BGR,bio-based_polypropylene,2050,bio-based_polypropylene,0.01843792918526787
C-EEU-BGR,bio-based_polypropylene,2055,bio-based_polypropylene,0.01848719276739308
C-EEU-BGR,bio-based_polypropylene,2060,bio-based_polypropylene,0.01857335671384197
C-EEU-BGR,other_plastics,2020,plastic_mixture,2.3670758144965713
C-EEU-BGR,other_plastics,2025,plastic_mixture,2.366714404011307
C-EEU-BGR,other_plastics,2030,plastic_mixture,2.3666104055147743
C-EEU-BGR,other_plastics,2035,plastic_mixture,2.366810509618265
C-EEU-BGR,other_plastics,2040,plastic_mixture,2.3668284052526065
C-EEU-BGR,other_plastics,2045,plastic_mixture,2.3667618805368154
C-EEU-BGR,other_plastics,2050,plastic_mixture,2.3668005179976626
C-EEU-BGR,other_plastics,2055,plastic_mixture,2.3668937626301005
C-EEU-BGR,other_plastics,2060,plastic_mixture,2.3670306423962924
C-EEU-BGR,polypropylene,2020,polypropylene,2.5481636513927475
C-EEU-BGR,polypropylene,2025,polypropylene,2.548003774302453
C-EEU-BGR,polypropylene,2030,polypropylene,2.5480037871592174
C-EEU-BGR,polypropylene,2035,polypropylene,2.5481009113725968
C-EEU-BGR,polypropylene,2040,polypropylene,2.548171781144019
C-EEU-BGR,polypropylene,2045,polypropylene,2.5481861586002967
C-EEU-BGR,polypropylene,2050,polypropylene,2.548237867387172
C-EEU-BGR,polypropylene,2055,polypropylene,2.548287130969298
C-EEU-BGR,polypropylene,2060,polypropylene,2.5483732949157463
C-EEU-BGR,polystyrene,2020,polystyrene,3.188305110808396
C-EEU-BGR,polystyrene,2025,polystyrene,3.188127406862693
C-EEU-BGR,polystyrene,2030,polystyrene,3.188135617479059
C-EEU-BGR,polystyrene,2035,polystyrene,3.1882464930247725
C-EEU-BGR,polystyrene,2040,polystyrene,3.188335224953767
C-EEU-BGR,polystyrene,2045,polystyrene,3.1883593606847698
C-EEU-BGR,polystyrene,2050,polystyrene,3.188424216568207
