region,year,type,energy_label,energy_class_distribution
C-WEU-CHE,1990,WASH_MACH,A,0
C-WEU-CHE,1990,WASH_MACH,B,0
C-WEU-CHE,1990,WASH_MACH,C,0
C-WEU-CHE,1990,WASH_MACH,D,0
C-WEU-CHE,1990,WASH_MACH,E,0
C-WEU-CHE,1990,WASH_MACH,F,0
C-WEU-CHE,1990,WASH_MACH,G,100
C-WEU-GBR,1990,WASH_MACH,A,0
C-WEU-GBR,1990,WASH_MACH,B,0
C-WEU-GBR,1990,WASH_MACH,C,0
C-WEU-GBR,1990,WASH_MACH,D,0
C-WEU-GBR,1990,WASH_MACH,E,0
C-WEU-GBR,1990,WASH_MACH,F,0
C-WEU-GBR,1990,WASH_MACH,G,100
C-WEU-NOR,1990,WASH_MACH,A,0
C-WEU-NOR,1990,WASH_MACH,B,0
C-WEU-NOR,1990,WASH_MACH,C,0
C-WEU-NOR,1990,WASH_MACH,D,0
C-WEU-NOR,1990,WASH_MACH,E,0
C-WEU-NOR,1990,WASH_MACH,F,0
C-WEU-NOR,1990,WASH_MACH,G,100
C-WEU-CHE,1990,WASH_MACH_COM,A,0
C-WEU-CHE,1990,WASH_MACH_COM,B,0
C-WEU-CHE,1990,WASH_MACH_COM,C,0
C-WEU-CHE,1990,WASH_MACH_COM,D,0
C-WEU-CHE,1990,WASH_MACH_COM,E,0
C-WEU-CHE,1990,WASH_MACH_COM,F,0
C-WEU-CHE,1990,WASH_MACH_COM,G,100
C-WEU-GBR,1990,WASH_MACH_COM,A,0
C-WEU-GBR,1990,WASH_MACH_COM,B,0
C-WEU-GBR,1990,WASH_MACH_COM,C,0
C-WEU-GBR,1990,WASH_MACH_COM,D,0
C-WEU-GBR,1990,WASH_MACH_COM,E,0
C-WEU-GBR,1990,WASH_MACH_COM,F,0
C-WEU-GBR,1990,WASH_MACH_COM,G,100
C-WEU-NOR,1990,WASH_MACH_COM,A,0
C-WEU-NOR,1990,WASH_MACH_COM,B,0
C-WEU-NOR,1990,WASH_MACH_COM,C,0
C-WEU-NOR,1990,WASH_MACH_COM,D,0
C-WEU-NOR,1990,WASH_MACH_COM,E,0
C-WEU-NOR,1990,WASH_MACH_COM,F,0
C-WEU-NOR,1990,WASH_MACH_COM,G,100
C-WEU-CHE,1995,WASH_MACH,A,0
C-WEU-CHE,1995,WASH_MACH,B,1.5
C-WEU-CHE,1995,WASH_MACH,C,12.5
C-WEU-CHE,1995,WASH_MACH,D,10.75
C-WEU-CHE,1995,WASH_MACH,E,0.25
C-WEU-CHE,1995,WASH_MACH,F,0
C-WEU-CHE,1995,WASH_MACH,G,75
C-WEU-GBR,1995,WASH_MACH,A,0
C-WEU-GBR,1995,WASH_MACH,B,1.5
C-WEU-GBR,1995,WASH_MACH,C,12.5
C-WEU-GBR,1995,WASH_MACH,D,10.75
C-WEU-GBR,1995,WASH_MACH,E,0.25
C-WEU-GBR,1995,WASH_MACH,F,0
C-WEU-GBR,1995,WASH_MACH,G,75
C-WEU-NOR,1995,WASH_MACH,A,0
C-WEU-NOR,1995,WASH_MACH,B,1.5
C-WEU-NOR,1995,WASH_MACH,C,12.5
C-WEU-NOR,1995,WASH_MACH,D,10.75
C-WEU-NOR,1995,WASH_MACH,E,0.25
C-WEU-NOR,1995,WASH_MACH,F,0
C-WEU-NOR,1995,WASH_MACH,G,75
C-WEU-CHE,1995,WASH_MACH_COM,A,0
C-WEU-CHE,1995,WASH_MACH_COM,B,1.5
C-WEU-CHE,1995,WASH_MACH_COM,C,12.5
C-WEU-CHE,1995,WASH_MACH_COM,D,10.75
C-WEU-CHE,1995,WASH_MACH_COM,E,0.25
C-WEU-CHE,1995,WASH_MACH_COM,F,0
C-WEU-CHE,1995,WASH_MACH_COM,G,75
C-WEU-GBR,1995,WASH_MACH_COM,A,0
C-WEU-GBR,1995,WASH_MACH_COM,B,1.5
C-WEU-GBR,1995,WASH_MACH_COM,C,12.5
C-WEU-GBR,1995,WASH_MACH_COM,D,10.75
C-WEU-GBR,1995,WASH_MACH_COM,E,0.25
C-WEU-GBR,1995,WASH_MACH_COM,F,0
C-WEU-GBR,1995,WASH_MACH_COM,G,75
C-WEU-NOR,1995,WASH_MACH_COM,A,0
C-WEU-NOR,1995,WASH_MACH_COM,B,1.5
C-WEU-NOR,1995,WASH_MACH_COM,C,12.5
C-WEU-NOR,1995,WASH_MACH_COM,D,10.75
C-WEU-NOR,1995,WASH_MACH_COM,E,0.25
C-WEU-NOR,1995,WASH_MACH_COM,F,0
C-WEU-NOR,1995,WASH_MACH_COM,G,75
C-WEU-CHE,2000,WASH_MACH,A,0
C-WEU-CHE,2000,WASH_MACH,B,6
C-WEU-CHE,2000,WASH_MACH,C,24
C-WEU-CHE,2000,WASH_MACH,D,20
C-WEU-CHE,2000,WASH_MACH,E,0
C-WEU-CHE,2000,WASH_MACH,F,0
C-WEU-CHE,2000,WASH_MACH,G,50
C-WEU-GBR,2000,WASH_MACH,A,0
C-WEU-GBR,2000,WASH_MACH,B,6
C-WEU-GBR,2000,WASH_MACH,C,24
C-WEU-GBR,2000,WASH_MACH,D,20
C-WEU-GBR,2000,WASH_MACH,E,0
C-WEU-GBR,2000,WASH_MACH,F,0
C-WEU-GBR,2000,WASH_MACH,G,50
C-WEU-NOR,2000,WASH_MACH,A,0
C-WEU-NOR,2000,WASH_MACH,B,6
C-WEU-NOR,2000,WASH_MACH,C,24
C-WEU-NOR,2000,WASH_MACH,D,20
C-WEU-NOR,2000,WASH_MACH,E,0
C-WEU-NOR,2000,WASH_MACH,F,0
