region,yrs_prod,type,material_type,material_intensity
C-EEU-BGR,2005,WASH_MACH,aluminium,2721.36
C-EEU-BGR,2005,WASH_MACH,copper,1520.76
C-EEU-BGR,2005,WASH_MACH,glass,1600.8
C-EEU-BGR,2005,WASH_MACH,other_materials,19769.88
C-EEU-BGR,2005,WASH_MACH,acrylonitrile_butadiene_styrene,1280.64
C-EEU-BGR,2005,WASH_MACH,other_plastics,7603.8
C-EEU-BGR,2005,WASH_MACH,polypropylene,5282.64
C-EEU-BGR,2005,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2005,WASH_MACH,steel,40260.12
C-EEU-BGR,2010,WASH_MACH,aluminium,2721.36
C-EEU-BGR,2010,WASH_MACH,copper,1520.76
C-EEU-BGR,2010,WASH_MACH,glass,1600.8
C-EEU-BGR,2010,WASH_MACH,other_materials,19769.88
C-EEU-BGR,2010,WASH_MACH,acrylonitrile_butadiene_styrene,1280.64
C-EEU-BGR,2010,WASH_MACH,other_plastics,7603.8
C-EEU-BGR,2010,WASH_MACH,polypropylene,5282.64
C-EEU-BGR,2010,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2010,WASH_MACH,steel,40260.12
C-EEU-BGR,2015,WASH_MACH,aluminium,2721.36
C-EEU-BGR,2015,WASH_MACH,copper,1520.76
C-EEU-BGR,2015,WASH_MACH,glass,1600.8
C-EEU-BGR,2015,WASH_MACH,other_materials,19769.88
C-EEU-BGR,2015,WASH_MACH,acrylonitrile_butadiene_styrene,1280.64
C-EEU-BGR,2015,WASH_MACH,other_plastics,7603.8
C-EEU-BGR,2015,WASH_MACH,polypropylene,5282.64
C-EEU-BGR,2015,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2015,WASH_MACH,steel,40260.12
C-EEU-BGR,2020,WASH_MACH,aluminium,2721.36
C-EEU-BGR,2020,WASH_MACH,copper,1520.76
C-EEU-BGR,2020,WASH_MACH,glass,1600.8
C-EEU-BGR,2020,WASH_MACH,other_materials,19769.88
C-EEU-BGR,2020,WASH_MACH,acrylonitrile_butadiene_styrene,1280.64
C-EEU-BGR,2020,WASH_MACH,other_plastics,7603.8
C-EEU-BGR,2020,WASH_MACH,polypropylene,5282.64
C-EEU-BGR,2020,WASH_MACH,bio-based_polypropylene,0
C-EEU-BGR,2020,WASH_MACH,steel,40260.12
C-EEU-BGR,2025,WASH_MACH,aluminium,2721.36
C-EEU-BGR,2025,WASH_MACH,copper,1520.76
C-EEU-BGR,2025,WASH_MACH,glass,1600.8
C-EEU-BGR,2025,WASH_MACH,other_materials,19769.88
