"region","scenario","gdp_cap_2020","gdp_cap_2025","gdp_cap_2030","gdp_cap_2035","gdp_cap_2040","gdp_cap_2045","gdp_cap_2050","gdp_cap_2055","gdp_cap_2060","gdp_cap_2065","gdp_cap_2070","gdp_cap_2075","gdp_cap_2080","gdp_cap_2085","gdp_cap_2090","gdp_cap_2095","gdp_cap_2100","unit"
"C-EEU-EST","SSP2",35849.2688988188,42896.604314721,51724.9496900308,58805.0518741581,64519.7825080796,68594.4161338475,71530.5619113123,74028.8400616302,76436.8846132942,78914.1911551374,81311.1324122145,83433.9016771812,85724.9880593058,88277.4014916258,90687.2711697222,92580.080844571,94312.3214992652,"USD_2005"
"C-EEU-EST","SSP3",35849.2688988188,42896.5857051461,50391.5760032813,55055.2253076385,57975.3972673693,59758.0125554531,60958.307765481,61878.6790053998,62539.3563111054,63003.7777937174,63171.7486605199,62982.7027154337,62863.7408632737,62925.8405896716,62886.8684725799,62515.4930393069,62077.1736144087,"USD_2005"
"C-EEU-EST","SSP4",35849.2688988188,42896.4459947417,52478.2167526382,60900.4416815002,67748.3843533393,72234.4785810708,75219.5425724443,77737.7414413285,80251.0978655541,82890.1049443551,85494.8220298941,87839.3143448638,90408.4338462621,93320.2594850418,96083.3534659802,98251.2186985054,100169.272087156,"USD_2005"
"C-EEU-EST","SSP5",35849.2688988188,42896.3999590963,53758.1209666776,64548.1336247577,74068.6744996749,81109.3212298455,86840.8866655166,92497.7181045409,98631.3073614484,105392.602699418,112576.46942604,119877.631700397,127734.040266108,136234.770425081,144745.946330668,152641.591345694,160285.834310084,"USD_2005"
"C-EEU-HRV","SSP1",26730.076186421,35375.048415986,40920.3434036591,46546.8604391537,51858.5289833717,56430.3051518909,60375.0781895587,63977.6251191454,67549.6131284907,71068.4202007066,74592.5949254965,78340.2454037832,82212.3037193969,86042.7324538294,90149.6733509778,94059.5743216792,97772.4633130838,"USD_2005"
"C-EEU-HRV","SSP2",26730.076186421,35375.0720659474,40353.8862752242,44775.179558486,48646.8005816292,52036.2598761799,55074.7563514157,57900.8020414497,60654.4175356401,63296.0574739045,65876.7869961118,68610.8745025253,71449.6812783883,74290.9063251832,77394.0354311435,80422.8178254494,83413.8624495057,"USD_2005"
"C-EEU-HRV","SSP3",26730.076186421,35375.0809370403,39564.3719244962,42368.9074305579,44096.7595407618,45308.4505921619,46325.3288489995,47208.8633253869,47946.9981070844,48468.335548148,48830.2358542243,49238.8292007879,49662.381366935,50008.5577350003,50461.0905648164,50783.6428333785,51033.9180633465,"USD_2005"
"C-EEU-HRV","SSP4",26730.076186421,35375.0667191593,40881.7770055878,46358.2907655998,51399.0785302294,55618.2361774391,59165.562556718,62320.9397729,65368.3213899965,68299.7869295693,71194.5495825017,74292.8710173819,77541.2631750904,80824.434366432,84448.0055355237,88030.2818080357,91559.2256615819,"USD_2005"
"C-EEU-HRV","SSP5",26730.076186421,35374.9850734564,41706.0102373833,48923.1706341257,56184.8639034775,62620.7743571759,68452.3380141227,74183.7521430158,80266.2494120404,86749.0419875912,93682.5203252032,101289.629760192,109479.47679404,118169.772049571,127576.5165329,137213.533503064,147012.218616424,"USD_2005"
"C-EEU-HUN","SSP1",31221.2120256828,36764.2882162803,41078.1246962253,45919.0267149707,50598.8299492803,54876.8954572465,58927.1128658471,62628.3978608257,66384.5951024411,70141.2772943754,74568.9256116976,79094.1755230097,83258.0309300717,87430.6848083845,91568.1026676767,95316.0074202313,98936.1744826938,"USD_2005"
"C-EEU-HUN","SSP2",31221.2120256828,36764.2733702083,40736.0492318072,44696.1113867836,48178.5628324748,51423.2638503115,54654.7039352797,57652.2905292888,60670.2906413177,63662.2191859894,67196.4650604466,70790.9014333437,74093.947172846,77421.8776708514,80755.5469778841,83850.9408153109,86923.2527787071,"USD_2005"
"C-EEU-HUN","SSP3",31221.2120256828,36764.261415714,40192.9475715651,42823.066025777,44378.1603734634,45585.327350119,46881.5928625413,48042.8657410538,49165.7302744006,50168.1687014557,51477.5218672793,52721.0756666985,53660.06461898,54537.0426924265,55343.7939412979,55948.0000633487,56509.8794775061,"USD_2005"
"C-EEU-HUN","SSP4",31221.2120256828,36764.2572029696,41035.4021042838,45705.3842083005,50079.3482660542,53966.5849370356,57589.4958152671,60844.3601465692,64118.5340672998,67357.8430271284,71201.302008105,75115.8776091607,78702.5892487047,82355.4539612017,86045.8386723299,89471.6975878654,92809.6436063788,"USD_2005"
"C-EEU-HUN","SSP5",31221.2120256828,36764.2658406058,41522.9059023708,47644.1521430826,54158.0326541519,60359.9077948959,66480.5454037246,72523.6802984767,79005.6455204459,85912.8711839794,93999.1415597362,102646.6240781,111321.871110163,120457.967297808,130002.342503642,139502.096498972,149216.976776501,"USD_2005"
"C-EEU-LTU","SSP1",36831.0649662788,44678.1502277114,50736.669724181,57450.6231287866,64438.9883476061,70629.7066946623,75459.6286100204,79823.9437095981,84186.115337578,88850.3594943662,93607.5657393678,97927.6224525479,101962.538306057,106284.589710287,110869.831585177,115132.528956668,118647.586482117,"USD_2005"
"C-EEU-LTU","SSP2",36831.0649662788,44678.1071124923,50156.3654170297,55358.2923769842,60025.8398202945,63828.6796635423,66594.8953175012,69135.7700684811,71751.0961974186,74653.7418239479,77635.345976394,80306.73613951,82834.7438269335,85653.5517444414,88764.8036293864,91782.1049529787,94453.4780547494,"USD_2005"
"C-EEU-LTU","SSP3",36831.0649662788,44678.0306836858,49236.4453271837,52481.4318987302,54108.1031395908,54360.5672447981,53569.6897629015,52503.9780179756,51348.2371053649,50244.7074757094,49065.5210712939,47646.0242490413,46148.8944484916,44818.1468276568,43630.467893905,42390.31234608,41010.6729169,"USD_2005"
"C-EEU-LTU","SSP4",36831.0649662788,44678.1389307986,50703.3311681889,57283.2469414037,63999.6372423061,69807.5090035319,74193.2460921129,78055.6236529056,81838.1585865848,85839.2803277281,89868.0039977505,93460.2737341274,96815.3090884601,100489.812989211,104486.02336571,108300.556399559,111549.899092274,"USD_2005"
"C-EEU-LTU","SSP5",36831.0649662788,44678.0467048161,51733.4845921088,60522.0647044665,70541.8794611813,79859.7517239106,87640.0818179351,95066.8099295021,102789.331836623,111262.73089816,120309.557811815,129350.101314677,138559.975697701,148606.454879162,159339.513646738,170048.379839515,180231.759309477,"USD_2005"
"C-EEU-LVA","SSP1",30622.8217461768,36148.5852523774,41679.5055377844,47542.3312565029,53893.3562165789,59658.6341565597,65134.2209024762,70567.5173907,76380.8155864345,82693.6712465998,89250.6499300833,95802.7682759923,102590.751387633,110076.330691524,117416.342509917,124203.76464328,130749.554340247,"USD_2005"
"C-EEU-LVA","SSP2",30622.8217461768,36148.4376604797,41091.4373318121,45392.0741454032,49241.052735934,52307.8990928123,55235.4447734055,58261.9216546716,61670.8489521588,65520.7309031756,69567.3084570421,73632.6609286944,77905.7501272653,82716.1271444237,87570.8100167211,92260.1500866908,97003.5570514807,"USD_2005"
"C-EEU-LVA","SSP3",30622.8217461768,36148.4401861867,40176.5973203416,42571.9521372034,43273.9966897077,42460.7764757819,41157.6080247596,39615.4118103643,37985.7671013067,36270.7568631254,34319.0234799769,32094.7202716186,29755.5081078884,27460.8182148741,25048.2567020066,22534.5133527572,20043.5470672488,"USD_2005"
"C-EEU-LVA","SSP4",30622.8217461768,36148.504281971,41648.4035424786,47394.0079000427,53518.9558897543,58964.9354793912,64055.1715513284,69020.3329530288,74246.7204066641,79843.0525710451,85576.2225603316,91258.9838404218,97158.1181563723,103741.244038772,110328.669926263,116642.860494213,122918.05092515,"USD_2005"
