region,urt,type,year,access
C-EEU-BGR,rur,WASH_MACH,1990,0.89010989
C-EEU-BGR,urb,WASH_MACH,1990,0.878671221889016
C-EEU-CZE,rur,WASH_MACH,1990,0.89010989
C-EEU-CZE,urb,WASH_MACH,1990,0.884470164576408
C-EEU-EST,rur,WASH_MACH,1990,0.89010989
C-EEU-EST,urb,WASH_MACH,1990,0.882922595525854
C-EEU-HRV,rur,WASH_MACH,1990,0.89010989
C-EEU-HRV,urb,WASH_MACH,1990,0.88815874095944
C-EEU-HUN,rur,WASH_MACH,1990,0.89010989
C-EEU-HUN,urb,WASH_MACH,1990,0.884933230903792
C-EEU-LTU,rur,WASH_MACH,1990,0.89010989
C-EEU-LTU,urb,WASH_MACH,1990,0.882037884356467
C-EEU-LVA,rur,WASH_MACH,1990,0.89010989
C-EEU-LVA,urb,WASH_MACH,1990,0.877391325908849
C-EEU-POL,rur,WASH_MACH,1990,0.89010989
C-EEU-POL,urb,WASH_MACH,1990,0.880462115607999
C-EEU-ROU,rur,WASH_MACH,1990,0.89010989
C-EEU-ROU,urb,WASH_MACH,1990,0.885190163386857
C-EEU-SVK,rur,WASH_MACH,1990,0.89010989
C-EEU-SVK,urb,WASH_MACH,1990,0.881208757804704
C-EEU-SVN,rur,WASH_MACH,1990,0.89010989
C-EEU-SVN,urb,WASH_MACH,1990,0.883429909377309
C-WEU-AUT,rur,WASH_MACH,1990,0.89010989
C-WEU-AUT,urb,WASH_MACH,1990,0.885896161808146
C-WEU-BEL,rur,WASH_MACH,1990,0.89010989
C-WEU-BEL,urb,WASH_MACH,1990,0.878641113053022
C-WEU-CHE,rur,WASH_MACH,1990,0.89010989
C-WEU-CHE,urb,WASH_MACH,1990,0.885896161808146
C-WEU-CYP,rur,WASH_MACH,1990,0.89010989
C-WEU-CYP,urb,WASH_MACH,1990,0.877409512005337
C-WEU-DEU,rur,WASH_MACH,1990,0.89010989
C-WEU-DEU,urb,WASH_MACH,1990,0.878776254857541
C-WEU-DNK,rur,WASH_MACH,1990,0.89010989
C-WEU-DNK,urb,WASH_MACH,1990,0.886913946204994
C-WEU-ESP,rur,WASH_MACH,1990,0.89010989
C-WEU-ESP,urb,WASH_MACH,1990,0.87693469268529
C-WEU-FIN,rur,WASH_MACH,1990,0.89010989
C-WEU-FIN,urb,WASH_MACH,1990,0.878645312332538
C-WEU-FRA,rur,WASH_MACH,1990,0.89010989
C-WEU-FRA,urb,WASH_MACH,1990,0.885089208922132
