region,urt,year,type,energy_label,generation,yrs_prod,n_app
C-WEU-AUT,urb,2000,WASH_MACH,A,1,1990,0
C-WEU-AUT,urb,2000,WASH_MACH,B,1,1990,21770.25409824615
C-WEU-AUT,urb,2000,WASH_MACH,C,1,1990,87081.01639298462
C-WEU-AUT,urb,2000,WASH_MACH,D,1,1990,72567.51366082052
C-WEU-AUT,urb,2000,WASH_MACH,E,1,1990,0
C-WEU-AUT,urb,2000,WASH_MACH,F,1,1990,0
C-WEU-AUT,urb,2000,WASH_MACH,G,1,1990,181418.7841520513
C-WEU-AUT,urb,2000,WASH_MACH,A,1,1995,0
C-WEU-AUT,urb,2000,WASH_MACH,B,1,1995,43540.50819649231
C-WEU-AUT,urb,2000,WASH_MACH,C,1,1995,174162.03278596923
C-WEU-AUT,urb,2000,WASH_MACH,D,1,1995,145135.02732164104
C-WEU-AUT,urb,2000,WASH_MACH,E,1,1995,0
C-WEU-AUT,urb,2000,WASH_MACH,F,1,1995,0
C-WEU-AUT,urb,2000,WASH_MACH,G,1,1995,362837.5683041026
C-WEU-AUT,urb,2000,WASH_MACH,A,1,2000,0
C-WEU-AUT,urb,2000,WASH_MACH,B,1,2000,21770.25409824615
C-WEU-AUT,urb,2000,WASH_MACH,C,1,2000,87081.01639298462
C-WEU-AUT,urb,2000,WASH_MACH,D,1,2000,72567.51366082052
C-WEU-AUT,urb,2000,WASH_MACH,E,1,2000,0
C-WEU-AUT,urb,2000,WASH_MACH,F,1,2000,0
C-WEU-AUT,urb,2000,WASH_MACH,G,1,2000,181418.7841520513
C-WEU-AUT,urb,2000,WASH_MACH,A,2,1995,0
C-WEU-AUT,urb,2000,WASH_MACH,B,2,1995,2693.2273111232357
C-WEU-AUT,urb,2000,WASH_MACH,C,2,1995,10772.909244492945
C-WEU-AUT,urb,2000,WASH_MACH,D,2,1995,8977.424370410785
C-WEU-AUT,urb,2000,WASH_MACH,E,2,1995,0
C-WEU-AUT,urb,2000,WASH_MACH,F,2,1995,0
C-WEU-AUT,urb,2000,WASH_MACH,G,2,1995,22443.560926026963
C-WEU-AUT,urb,2000,WASH_MACH_COM,A,1,1990,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,B,1,1990,14.491087371826566
C-WEU-AUT,urb,2000,WASH_MACH_COM,C,1,1990,57.964349487306265
C-WEU-AUT,urb,2000,WASH_MACH_COM,D,1,1990,48.303624572755226
C-WEU-AUT,urb,2000,WASH_MACH_COM,E,1,1990,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,F,1,1990,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,G,1,1990,120.75906143188806
C-WEU-AUT,urb,2000,WASH_MACH_COM,A,1,1995,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,B,1,1995,28.982174743653133
C-WEU-AUT,urb,2000,WASH_MACH_COM,C,1,1995,115.92869897461252
C-WEU-AUT,urb,2000,WASH_MACH_COM,D,1,1995,96.60724914551044
C-WEU-AUT,urb,2000,WASH_MACH_COM,E,1,1995,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,F,1,1995,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,G,1,1995,241.5181228637761
C-WEU-AUT,urb,2000,WASH_MACH_COM,A,1,2000,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,B,1,2000,14.491087371826566
C-WEU-AUT,urb,2000,WASH_MACH_COM,C,1,2000,57.964349487306265
C-WEU-AUT,urb,2000,WASH_MACH_COM,D,1,2000,48.303624572755226
C-WEU-AUT,urb,2000,WASH_MACH_COM,E,1,2000,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,F,1,2000,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,G,1,2000,120.75906143188806
C-WEU-AUT,urb,2000,WASH_MACH_COM,A,2,1995,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,B,2,1995,1.792711839813596
C-WEU-AUT,urb,2000,WASH_MACH_COM,C,2,1995,7.170847359254384
C-WEU-AUT,urb,2000,WASH_MACH_COM,D,2,1995,5.975706132711987
C-WEU-AUT,urb,2000,WASH_MACH_COM,E,2,1995,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,F,2,1995,0
C-WEU-AUT,urb,2000,WASH_MACH_COM,G,2,1995,14.939265331779966
C-WEU-AUT,rur,2000,WASH_MACH,A,1,1990,0
