"region","material_type","year","eol_material","emission_factor"
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-BGR","bio-based_polypropylene",2020,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2025,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2030,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2035,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2040,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2045,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2050,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2055,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polypropylene",2060,"polypropylene",2.66305613890392
"C-EEU-BGR","bio-based_polystyrene",2020,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2025,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2030,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2035,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2040,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2045,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2050,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2055,"polystyrene",3.29915619269115
"C-EEU-BGR","bio-based_polystyrene",2060,"polystyrene",3.29915619269115
"C-EEU-BGR","polypropylene",2020,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2025,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2030,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2035,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2040,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2045,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2050,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2055,"polypropylene",2.66305613890392
"C-EEU-BGR","polypropylene",2060,"polypropylene",2.66305613890392
"C-EEU-BGR","polystyrene",2020,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2025,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2030,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2035,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2040,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2045,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2050,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2055,"polystyrene",3.29915619269115
"C-EEU-BGR","polystyrene",2060,"polystyrene",3.29915619269115
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-CZE","bio-based_polypropylene",2020,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2025,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2030,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2035,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2040,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2045,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2050,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2055,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polypropylene",2060,"polypropylene",2.66305613890392
"C-EEU-CZE","bio-based_polystyrene",2020,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2025,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2030,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2035,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2040,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2045,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2050,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2055,"polystyrene",3.29915619269115
"C-EEU-CZE","bio-based_polystyrene",2060,"polystyrene",3.29915619269115
"C-EEU-CZE","polypropylene",2020,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2025,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2030,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2035,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2040,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2045,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2050,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2055,"polypropylene",2.66305613890392
"C-EEU-CZE","polypropylene",2060,"polypropylene",2.66305613890392
"C-EEU-CZE","polystyrene",2020,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2025,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2030,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2035,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2040,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2045,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2050,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2055,"polystyrene",3.29915619269115
"C-EEU-CZE","polystyrene",2060,"polystyrene",3.29915619269115
"C-EEU-EST","acrylonitrile_butadiene_styrene",2020,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2025,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2030,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2035,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2040,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2045,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2050,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2055,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","acrylonitrile_butadiene_styrene",2060,"acrylonitrile_butadiene_styrene",3.12595630064709
"C-EEU-EST","bio-based_polypropylene",2020,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2025,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2030,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2035,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2040,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2045,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2050,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2055,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polypropylene",2060,"polypropylene",2.66305613890392
"C-EEU-EST","bio-based_polystyrene",2020,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2025,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2030,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2035,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2040,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2045,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2050,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2055,"polystyrene",3.29915619269115
"C-EEU-EST","bio-based_polystyrene",2060,"polystyrene",3.29915619269115
"C-EEU-EST","polypropylene",2020,"polypropylene",2.66305613890392
"C-EEU-EST","polypropylene",2025,"polypropylene",2.66305613890392
"C-EEU-EST","polypropylene",2030,"polypropylene",2.66305613890392
"C-EEU-EST","polypropylene",2035,"polypropylene",2.66305613890392
"C-EEU-EST","polypropylene",2040,"polypropylene",2.66305613890392
"C-EEU-EST","polypropylene",2045,"polypropylene",2.66305613890392
"C-EEU-EST","polypropylene",2050,"polypropylene",2.66305613890392
