region_gea,material,production,unit,year,1p5C,NPi,diff_1p5C_vs_NPi,pct_diff_1p5C_vs_NPi
FSU,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
FSU,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
FSU,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
FSU,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
FSU,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
FSU,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
FSU,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
FSU,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
FSU,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
FSU,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
FSU,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
FSU,steel,primary,kgco2e/kg,2020,0.880637012,0.880637012,0,0
FSU,steel,primary,kgco2e/kg,2025,0.8695784485,0.8695784485,0,0
FSU,steel,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
FSU,steel,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
FSU,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
FSU,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
LAC,aluminum,primary,kgco2e/kg,2020,11.84496674,11.84496674,0,0
LAC,aluminum,primary,kgco2e/kg,2025,11.555349190000001,11.555349190000001,0,0
LAC,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
LAC,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
LAC,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
LAC,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
LAC,concrete,primary,kgco2e/kg,2020,0.604215343,0.604215343,0,0
LAC,concrete,primary,kgco2e/kg,2025,0.6011939645,0.6011939645,0,0
LAC,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
LAC,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
LAC,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
LAC,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
LAC,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
LAC,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
LAC,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
LAC,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
LAC,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
