"","type","MESSAGE_R12","year","scenario","emission_factor","unit"
"37","primary_aluminium","EEU",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"38","primary_aluminium","EEU",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
"39","primary_aluminium","EEU",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"40","primary_aluminium","EEU",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"41","primary_aluminium","EEU",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"42","primary_aluminium","EEU",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
"43","primary_aluminium","EEU",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"44","primary_aluminium","EEU",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"45","primary_aluminium","EEU",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"46","primary_aluminium","EEU",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"47","primary_aluminium","EEU",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"48","primary_aluminium","EEU",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"49","primary_aluminium","EEU",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"50","primary_aluminium","EEU",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"51","primary_aluminium","EEU",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
"52","primary_aluminium","FSU",2020,"image_ssp2_base",14.5075193220672,"kgco2e/kg"
"53","primary_aluminium","FSU",2030,"image_ssp2_base",14.2596740244073,"kgco2e/kg"
"54","primary_aluminium","FSU",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"55","primary_aluminium","FSU",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
"56","primary_aluminium","FSU",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"57","primary_aluminium","FSU",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"58","primary_aluminium","FSU",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"59","primary_aluminium","FSU",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
"60","primary_aluminium","FSU",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"61","primary_aluminium","FSU",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"62","primary_aluminium","FSU",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"63","primary_aluminium","FSU",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"64","primary_aluminium","FSU",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"65","primary_aluminium","FSU",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"66","primary_aluminium","FSU",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"67","primary_aluminium","FSU",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"68","primary_aluminium","FSU",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
