"","scenario_supply","region_gea","material","production","year","emission_factor","unit"
"1","NPi","AFR","aluminium","primary",2020,11.2148979460124,"kgco2e/kg"
"2","NPi","AFR","aluminium","primary",2030,12.7524322165187,"kgco2e/kg"
"3","1p5C","AFR","aluminium","primary",2030,8.22344703488902,"kgco2e/kg"
"4","NPi","AFR","aluminium","primary",2040,13.4530654335238,"kgco2e/kg"
"5","1p5C","AFR","aluminium","primary",2040,6.69569185428135,"kgco2e/kg"
"6","NPi","AFR","aluminium","primary",2050,11.6533121948076,"kgco2e/kg"
"7","1p5C","AFR","aluminium","primary",2050,7.04276022531472,"kgco2e/kg"
"8","NPi","AFR","aluminium","primary",2060,11.2122840196819,"kgco2e/kg"
"9","1p5C","AFR","aluminium","primary",2060,6.81914425322655,"kgco2e/kg"
"10","NPi","AFR","aluminium","primary",2070,10.8271679611855,"kgco2e/kg"
"11","1p5C","AFR","aluminium","primary",2070,6.71363906891559,"kgco2e/kg"
"12","NPi","AFR","aluminium","primary",2080,10.7470850367332,"kgco2e/kg"
"13","1p5C","AFR","aluminium","primary",2080,6.81517917692546,"kgco2e/kg"
"14","NPi","AFR","aluminium","primary",2090,10.9497175827284,"kgco2e/kg"
"15","1p5C","AFR","aluminium","primary",2090,6.74479276057836,"kgco2e/kg"
"16","NPi","AFR","aluminium","primary",2100,10.8749872754909,"kgco2e/kg"
"17","1p5C","AFR","aluminium","primary",2100,6.68579433258435,"kgco2e/kg"
"18","NPi","CHN","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"19","NPi","CHN","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"20","1p5C","CHN","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"21","NPi","CHN","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"22","1p5C","CHN","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"23","NPi","CHN","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"24","1p5C","CHN","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"25","NPi","CHN","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"26","1p5C","CHN","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"27","NPi","CHN","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"28","1p5C","CHN","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"29","NPi","CHN","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"30","1p5C","CHN","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
