id_run,name_run,cop,eff,t_sp_c,t_sp_c_max,t_sp_h,f_c,f_f,f_h
0,tm23ts23,1,1,23,23,21,0.333,0.333,1
1,tm28ts26,1,1,26,28,20,0.333,0.333,1
2,tm26ts26,1,1,26,26,20,0.333,0.333,1
